Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,145,251902477,5.488476276397705,0.05919977035967094,0.7659417331919393,0.14552690463237897,0.968029873158044,0.8547441588000582,0.5170261108538794,0.16435486999858182,0.014950183387683821,0.3377210574676137,12.0,12.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,146,2085471710,5.479579925537109,0.07264430973299421,0.5148573683357146,0.10774521078651057,0.9647982687976548,0.8917144712720375,0.5569082218524111,0.12895638385407143,0.012880680182518851,0.4150711578158209,13.0,11.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,147,2047687242,5.5076634883880615,0.0791601336316835,0.7926910787764772,0.1412686671279917,0.9503512660038445,0.8542564772180562,0.514690690422708,0.16815069918497222,0.014308081626583164,0.3322319096111526,12.0,12.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,148,728884657,5.9686665534973145,0.054137941094022424,0.7399337101483063,0.2325488204949785,0.9631736194318276,0.7760303303870664,0.6359543713906477,0.19053939155316146,0.03116618292593254,0.4142487969115537,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,149,2051654822,6.26432728767395,0.06180903767036512,0.8239089580720873,0.15338738787436404,0.9715967801151418,0.8467390866621102,0.715594065094129,0.25144040475647883,0.023533735795462668,0.44061992454218746,17.0,7.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,150,1940513952,5.715819835662842,0.07994076401812301,0.5358073059589245,0.14674245484329335,0.9713154704852478,0.8509401811852473,0.556296165438333,0.1302093827623355,0.016168130270586403,0.40991865240541114,13.0,11.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,151,666661951,5.900398015975952,0.07077425733349953,0.654337198746887,0.17511764595003462,0.9570561366916275,0.8321394225244879,0.6343722017561851,0.1729437060991227,0.02370663305610018,0.43772186260096235,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,152,926515810,5.369234800338745,0.06766485577911593,0.7501065495600545,0.15941913812965114,0.9414639424285538,0.8424072191512165,0.5152127076892313,0.1658300238691529,0.016509051464571507,0.33287363235550693,12.0,12.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,153,513131571,5.715909004211426,0.077966707547969,0.8148239081598859,0.1433027850371292,0.945690952579065,0.8589204215203078,0.5949498880697189,0.20842945005571273,0.01914250070079218,0.3673779373132141,14.0,10.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,154,1260123634,6.321688413619995,0.058426905472465006,0.7782408552925433,0.16349596312046738,0.9680111693861402,0.8359132823648932,0.675229643506818,0.22682973376006835,0.023527112685378503,0.4248727970613712,16.0,8.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,155,1039646183,5.743558883666992,0.05464983232371688,0.7497139605056984,0.2194649798070153,0.9659708268905807,0.787158911027083,0.635625429322845,0.19170412437819284,0.028718487829132354,0.41520281711551976,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,156,1906059605,5.492811679840088,0.06332351762484004,0.7461213470098851,0.20114438611268506,0.9686065109976826,0.8069539080675168,0.5574977447204562,0.16747711168083904,0.02257320020174942,0.36744743283786774,13.0,11.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,157,1379981696,5.86883282661438,0.05912161426210276,0.5865030338077932,0.13463345323825376,0.9739964125961948,0.8684607748101648,0.6361791755247161,0.15988347236789102,0.018352133113322167,0.4579435700435031,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,158,1027483631,6.10597038269043,0.07758485864530341,0.7704549222967958,0.1446893167300195,0.9701417625699186,0.8554354131517076,0.7554741985319652,0.25103858503700727,0.023601994288865523,0.48083361920609263,18.0,6.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,159,1650267518,6.06827712059021,0.06590338739269558,0.7222178950335965,0.1316651892516958,0.9697753599402493,0.869694600047748,0.6756256576252899,0.20730422286879827,0.01907147297062881,0.44924996178586296,16.0,8.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,160,1277363401,5.35481333732605,0.07098536273170689,0.8358401587267028,0.16514214310654116,0.9587169331621713,0.8341477651534832,0.4372482950076661,0.14483730209806533,0.013958449184277492,0.2784525437253233,10.0,14.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,161,869000386,6.51978874206543,0.060680595830344436,0.8477681947317484,0.17915933416854896,0.9707976950762743,0.8219873499056957,0.794713563495996,0.2845053649582907,0.030231351715209985,0.47997684682249514,19.0,5.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,162,1582042729,6.311631679534912,0.06865009908634519,0.7857769361408309,0.1922837168917479,0.9729154471288939,0.8171463659550203,0.715870318223221,0.23901058634837008,0.02849747025627614,0.44836226161857495,17.0,7.0
