Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,0,1763909319,5.481010437011719,0.09061003153690075,0.6891749167023095,0.17944591596091267,0.9567091237753605,0.7945219920914787,0.31201952352147827,0.0,0.0,0.31201952352147827,10.0,24.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,1,1489933983,5.441012144088745,0.07329264775022679,0.7571056164448629,0.15302863410973708,0.9443074405282165,0.8110792466765094,0.3965727817373803,0.0,0.0,0.3965727817373803,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,2,453741709,5.354010105133057,0.09089571540400847,0.7454557704334926,0.19460734342768718,0.9510623092997315,0.7860701264641231,0.31158785788654964,0.0,0.0,0.31158785788654964,10.0,24.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,3,811108630,5.347011089324951,0.06893437827699506,0.7486162809411455,0.14755367091953997,0.9571744251872523,0.8175028066098357,0.3977730490874586,0.0,0.0,0.3977730490874586,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,4,1299892732,5.672010898590088,0.07662538307045594,0.6581256838626691,0.1920611342807393,0.9381313389792889,0.7786277585136041,0.4519332482592059,0.0,0.0,0.4519332482592059,15.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,5,1522912140,5.412012100219727,0.08922028724649558,0.5847311859869013,0.1448489282904762,0.9447298044616742,0.8261596675478107,0.3402387464108847,0.0,0.0,0.3402387464108847,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,6,1980183620,5.499011516571045,0.06139513833023572,0.726059423928837,0.15058315037716882,0.946199190979284,0.8159246184724274,0.39588388795411267,0.0,0.0,0.39588388795411267,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,7,2145820292,5.457014799118042,0.0744121075298485,0.8282184201124446,0.24156465455963036,0.9333051596989218,0.7053279324764997,0.4520951328346687,0.0,0.0,0.4520951328346687,15.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,8,188823919,5.707009792327881,0.0716160241858214,0.8833358810307688,0.1904596901832739,0.9610221704435625,0.8070611956861705,0.4257576698554163,0.0,0.0,0.4257576698554163,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,9,317817050,5.393011093139648,0.08900608474907694,0.6010429150733121,0.17835283490074716,0.9455386661910515,0.8032588893329633,0.31136752895905767,0.0,0.0,0.31136752895905767,10.0,24.0
