Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,31,759719521,3.7344062328338623,0.0638575136434377,0.47598544262567793,0.0,0.0,0.47598544262567793,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,32,1511148819,3.8259806632995605,0.06466218916002722,0.5162099434731204,0.0,0.0,0.5162099434731204,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,33,1533092559,3.8608152866363525,0.0693139873360418,0.5150666053184726,0.0,0.0,0.5150666053184726,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,34,2007233909,3.7634801864624023,0.07053150045530585,0.4759367870058375,0.0,0.0,0.4759367870058375,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,35,2017903790,3.7031567096710205,0.05252424496751728,0.5161905692686133,0.0,0.0,0.5161905692686133,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,36,1623720875,3.654104232788086,0.05187098630773135,0.4758092696786941,0.0,0.0,0.4758092696786941,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,37,822005099,3.7656571865081787,0.07455473858898175,0.5957228794609919,0.0,0.0,0.5957228794609919,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,38,1169621962,4.185360670089722,0.06438677129258476,0.755883599543164,0.0,0.0,0.755883599543164,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,39,1315541580,3.767064332962036,0.07758225585420027,0.3569312049655182,0.0,0.0,0.3569312049655182,8.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,40,1872156770,3.872857093811035,0.07321005682122916,0.5565501225546581,0.0,0.0,0.5565501225546581,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,41,1117348063,3.751439332962036,0.05441753784488092,0.43637581594332786,0.0,0.0,0.43637581594332786,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,42,1785843434,3.8092153072357178,0.0762564800369036,0.39566270994900476,0.0,0.0,0.39566270994900476,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,43,1971002345,3.860816240310669,0.06225044572849743,0.5951566304077516,0.0,0.0,0.5951566304077516,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,44,1963233104,3.8379287719726562,0.07357956839846799,0.5545273736510714,0.0,0.0,0.5545273736510714,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,45,45295357,3.8764400482177734,0.06347825254926315,0.4758259171183987,0.0,0.0,0.4758259171183987,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,46,1818929957,3.9004292488098145,0.05640146279157737,0.4770363049595075,0.0,0.0,0.4770363049595075,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,47,475318147,3.688938617706299,0.07256050972093665,0.5945872143333234,0.0,0.0,0.5945872143333234,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,48,1035259748,3.6348021030426025,0.07868327606953612,0.5554317106598424,0.0,0.0,0.5554317106598424,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,49,2088888902,3.609405755996704,0.06275053934362218,0.4349403103496165,0.0,0.0,0.4349403103496165,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,50,287070358,3.6973044872283936,0.06725352236548801,0.43605590722641524,0.0,0.0,0.43605590722641524,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,51,1742754336,3.8139400482177734,0.06807736289439487,0.4753148205569506,0.0,0.0,0.4753148205569506,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,52,994158204,3.8281564712524414,0.07052863494913326,0.5144682919522613,0.0,0.0,0.5144682919522613,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,53,1490049239,4.001441240310669,0.060792840401847535,0.5939892314225932,0.0,0.0,0.5939892314225932,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,54,999229484,3.6406569480895996,0.05480536525276352,0.3946986179133545,0.0,0.0,0.3946986179133545,9.0,15.0
