Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,41,1104341091,4.359979629516602,0.05711965426182076,0.5153665742047963,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,42,591449774,4.515671968460083,0.05368346577040751,0.5937618547171062,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,43,511055152,4.164999723434448,0.06318837395474353,0.5155506810771838,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,44,1509200690,4.671924352645874,0.056202553993265125,0.7556366304280416,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,45,236539590,4.556584119796753,0.07509409695936997,0.755346185435119,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,46,1265300326,4.515672922134399,0.05671958885463188,0.7561752637995086,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,47,1493969396,4.572203874588013,0.0645205733123127,0.7942837196859555,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,48,1490049239,4.562547445297241,0.06475096039582164,0.6350935504838331,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,49,1031018765,4.494078874588013,0.07275003087230549,0.5550680385135918,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,50,1011506854,4.390671253204346,0.06629772703196529,0.5957062532521482,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,51,1712498177,4.415955066680908,0.06679884126602033,0.5961354731821956,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,52,1640771411,4.81255030632019,0.07459878607891836,0.7940345566167193,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,53,1226839433,4.150325059890747,0.07624687859667317,0.39547841828155805,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,54,322196933,4.531297206878662,0.05440779631766853,0.7140202644977607,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,55,1299191502,4.369077444076538,0.07199681381272041,0.8354943724268606,20.0,4.0
Status quo (no rapid test),0.0,1.0,0.0,56,2130447669,4.562548398971558,0.06452661736090243,0.4360573401135106,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,57,30578059,4.275326251983643,0.07407399626963976,0.5170236310948979,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,58,1373593898,4.60942530632019,0.05943460131682042,0.6339551859442415,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,59,289568835,4.290951490402222,0.06013330073860442,0.5565713050291596,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,60,1041880507,4.640674114227295,0.05695465567692887,0.8338137998765096,20.0,4.0
Status quo (no rapid test),0.0,1.0,0.0,61,1776145500,4.197201251983643,0.05409667498489387,0.5154286357925006,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,62,313735750,4.46879768371582,0.060657727456425815,0.6367968222497409,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,63,424076738,4.337826490402222,0.056755672078358285,0.7557639512687715,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,64,706973201,4.3505470752716064,0.05743489953865101,0.512280833453768,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,65,391356322,4.128313064575195,0.056732944853661135,0.5957099162744587,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,66,1592087331,4.506499290466309,0.06050239937093513,0.6762351366610021,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,67,1527510874,4.061373233795166,0.06859969003591548,0.39730129998109176,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,68,441846862,4.497502326965332,0.05863639692610027,0.6312668895621971,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,69,1181023661,4.399129152297974,0.06844530151893913,0.7543578291424791,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,70,392437986,4.337551116943359,0.05746414702592572,0.6356648747315401,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,71,442463148,4.429229259490967,0.05598730791138631,0.6343439144892138,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,72,1235262303,4.301562309265137,0.06203836799251221,0.5946371512557073,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,73,2089075418,4.511725187301636,0.05925531137685456,0.714306601291748,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,74,1181940678,4.413527727127075,0.0657031427523638,0.5560280802762212,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,75,18479805,4.493770599365234,0.059451024341947684,0.9558506605504316,23.0,1.0
Status quo (no rapid test),0.0,1.0,0.0,76,36293875,4.434521198272705,0.05014911405559604,0.5548758194059942,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,77,1646873834,4.6370649337768555,0.05814836009862592,0.7544556739435205,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,78,1756250673,4.312558889389038,0.07564594757495648,0.9991068676731687,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,79,2127537053,4.2274017333984375,0.0773851952131646,0.4348311282105461,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,80,1527938215,4.488504648208618,0.05577906614731404,0.6741235279311728,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,81,1987036835,4.416723012924194,0.06161607859166316,0.47539834593295455,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,82,742635166,4.203592300415039,0.0569147707791037,0.3543504769251935,8.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,83,428387606,4.530389308929443,0.058226077442601075,0.8323963892650923,20.0,4.0
Status quo (no rapid test),0.0,1.0,0.0,84,1057701318,4.389534950256348,0.06360170352548625,0.6740665566373363,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,85,620684410,4.406576871871948,0.07236927084449941,0.5964341613115629,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,86,169862576,4.4535157680511475,0.0568115541027975,0.6353502287198277,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,87,636653741,4.309865474700928,0.07560592758337348,0.7145839266688001,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,88,1037358284,4.5274927616119385,0.0601069395837323,0.7526929421532077,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,89,1365877958,4.452271461486816,0.06356387245523344,0.7570809979819102,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,90,1847268245,4.116619110107422,0.06873866600556344,0.47677252228897027,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,91,1787134341,4.33251953125,0.060408748260251555,0.5562494956747706,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,92,518286560,4.327411413192749,0.07796299243938713,0.6745362769860442,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,93,647752748,4.3310089111328125,0.06479621220089384,0.47493648955847123,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,94,2044735716,4.346775531768799,0.06144662179088083,0.514820489807258,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,95,1417899697,4.452271461486816,0.05317707671612614,0.6340791683007487,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,96,96328185,4.260173797607422,0.067226435572149,0.7145945669521636,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,97,846962187,4.5857508182525635,0.0534182427011228,0.5949048260592241,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,98,971748365,4.214556932449341,0.06710133437074359,0.5566929232793945,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,99,993246198,4.490739583969116,0.05138373154383662,0.7152288622449511,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,100,1709232599,4.100964307785034,0.06964699994920863,0.6366907138598621,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,101,1145660267,4.77621865272522,0.06283408961641578,0.7152026565297841,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,102,2080398871,4.396243095397949,0.07129413656369363,0.5565318360666889,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,103,921555830,4.247554540634155,0.07028440113028797,0.677157305721048,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,104,1696311714,4.270651340484619,0.07317126376564946,0.47541441510539767,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,105,1847092057,4.622152805328369,0.05614096433175874,0.7951901294707756,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,106,1449189605,4.286017656326294,0.07124366029562236,0.4754067306462103,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,107,1195091225,4.450531721115112,0.0648863497997032,0.5152245136175458,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,108,1483988216,4.702259540557861,0.06087884616961816,0.6725673672248591,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,109,45140219,4.424918174743652,0.07389594300661051,0.4758161632637464,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,110,1251823149,4.533752202987671,0.05308489493721888,0.7935694877787759,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,111,501616922,4.529932975769043,0.05524055327202206,0.7138330407218006,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,112,618662601,4.566111087799072,0.0603619971743881,0.9976453572811022,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,113,1318768269,4.2163121700286865,0.05548625458385874,0.7157680788052418,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,114,539278167,4.6714489459991455,0.06445635979430932,0.915314571234562,22.0,2.0
Status quo (no rapid test),0.0,1.0,0.0,115,1546661699,4.359985113143921,0.06521726640598317,0.47632345620594085,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,116,869525086,4.267939329147339,0.05664158776437146,0.31668029192647895,7.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,117,1127389417,4.4998555183410645,0.060684966310245746,0.7544343226936024,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,118,208660370,4.1553428173065186,0.05556259216727944,0.7155215079148667,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,119,1945037326,4.392702102661133,0.06794794747265243,0.6758716171001993,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,120,420514926,4.366652488708496,0.06644913954487118,0.47605290753023055,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,121,1988717831,4.2917702198028564,0.076169040899793,0.47531632543035734,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,122,1265045594,4.272051811218262,0.0586823040795511,0.6357897743933227,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,123,557528785,4.3551225662231445,0.06463920210636002,0.5569255662070307,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,124,61738016,4.327404260635376,0.0626393269984643,0.6329146424897513,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,125,1304696688,4.456018924713135,0.0604344813418505,0.6726866705220945,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,126,1196383116,4.214810132980347,0.058983924277684216,0.5154462419942373,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,127,2119065329,4.396738052368164,0.07342131824124429,0.5542586652441438,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,128,11993418,3.0000312328338623,0.05263750488579242,0.5154551755819342,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,129,1598551130,2.361872434616089,0.07751802833058064,0.5538637639654262,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,130,899771096,3.2656586170196533,0.060646620979608094,0.5160318998601224,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,131,1505973153,2.7525033950805664,0.07360752713777369,0.5165633609070855,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,132,491601191,2.937530755996704,0.06476461651289445,0.6750435662449107,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,133,1928384915,2.56499981880188,0.05521878492356619,0.6766418070208583,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,134,1799331687,2.765653610229492,0.07625540233890682,0.355301632785893,8.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,135,15524053,2.408747911453247,0.05216599355503481,0.7159146686410293,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,136,751489193,2.7187788486480713,0.06605301331888729,0.5952445875804069,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,137,156987350,2.377497911453247,0.059845678389510513,0.5959096585536651,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,138,627893408,3.2812840938568115,0.05655489938037759,0.5969104603075425,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,139,1207594076,2.3462491035461426,0.05427057235082237,0.43658605760786284,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,140,1408238763,2.796903371810913,0.06277732414062219,0.7951723052096535,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,141,856879794,2.5493762493133545,0.05873302283928386,0.6346110342939916,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,142,1813805924,2.937530517578125,0.0622608420519197,0.6337490384294644,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,143,368909202,2.70562744140625,0.06105931101999519,0.5150923655728431,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,144,1497107255,2.843777894973755,0.06660166377727766,0.5543031318522944,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,145,1859839831,2.658752202987671,0.05652214397880288,0.5942875195570506,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,146,888645632,2.7500290870666504,0.06293135869515953,0.5134253122803316,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,147,87373479,2.627502202987671,0.060675779209616476,0.4357430289227507,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,148,569170968,2.968780994415283,0.052717336624173015,0.6757298523234619,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,149,1724266722,2.908754825592041,0.0729115452327076,0.6764695534553858,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,150,605342979,2.7500269412994385,0.05514285109969081,0.514860552300644,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,151,1613654456,2.486875534057617,0.06066048141375565,0.7170787364343664,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,152,1460959226,2.9844062328338623,0.05577637894454222,0.7138545712200925,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,153,1679190915,2.67437744140625,0.07020077774117506,0.5948773083325228,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,154,1341721941,2.968780994415283,0.0586436292524513,0.7168603544520868,17.0,7.0
