Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,19,1041269999,5.313929080963135,0.1984525080592943,0.6158734882339832,0.0,0.0,0.6158734882339832,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,20,2139080526,4.969642877578735,0.08848877891924876,0.8369252840231847,0.0,0.0,0.8369252840231847,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,21,1411144752,5.204554319381714,0.20054451206875473,0.5970822586968005,0.0,0.0,0.5970822586968005,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,22,1509977740,4.938392162322998,0.12167222811850625,0.7244757304760151,0.0,0.0,0.7244757304760151,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,23,483706708,4.813925743103027,0.18330160191389958,0.6423685179302585,0.0,0.0,0.6423685179302585,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,24,289894276,4.92276668548584,0.14573505094509126,0.7696388034118612,0.0,0.0,0.7696388034118612,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,25,531799215,4.813926696777344,0.1569392863701611,0.6830754053875272,0.0,0.0,0.6830754053875272,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,26,621504377,4.75089168548584,0.07281073709507009,0.8538730051640591,0.0,0.0,0.8538730051640591,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,27,1136840914,4.8764262199401855,0.23229111372142333,0.5677267466677727,0.0,0.0,0.5677267466677727,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,28,759719521,5.250892877578735,0.25497593075106667,0.5633074619670161,0.0,0.0,0.5633074619670161,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,29,1511148819,5.079553127288818,0.21363480531915663,0.5979027133204655,0.0,0.0,0.5979027133204655,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,30,1533092559,4.985266208648682,0.16654368463900673,0.6530302392790658,0.0,0.0,0.6530302392790658,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,31,1164104192,4.970178127288818,0.1066445954412633,0.7276404899759051,0.0,0.0,0.7276404899759051,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,32,2017903790,4.71963906288147,0.16590876727704088,0.6300096618874197,0.0,0.0,0.6300096618874197,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,33,1623720875,4.8608009815216064,0.19880203935288476,0.567022471297422,0.0,0.0,0.567022471297422,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,34,822005099,5.063390731811523,0.15266885119943369,0.7319764412788771,0.0,0.0,0.7319764412788771,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,35,1169621962,4.907679557800293,0.09706819131921905,0.850777443917036,0.0,0.0,0.850777443917036,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,36,1872156770,5.016517877578735,0.1860393606037679,0.6771987042167152,0.0,0.0,0.6771987042167152,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,37,1117348063,5.110805988311768,0.22568303939143394,0.5394713112511923,0.0,0.0,0.5394713112511923,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,38,1971002345,4.922767639160156,0.1736022590411737,0.6558894489985714,0.0,0.0,0.6558894489985714,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,39,1963233104,5.079555511474609,0.16296512150326362,0.7015882662431004,0.0,0.0,0.7015882662431004,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,40,972786036,4.9852683544158936,0.12539637627033146,0.710895379489275,0.0,0.0,0.710895379489275,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,41,1818929957,5.157682180404663,0.22385439791669995,0.5809150580612515,0.0,0.0,0.5809150580612515,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,42,475318147,4.907142877578735,0.18671181583383445,0.6696609125174116,0.0,0.0,0.6696609125174116,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,43,1742754336,5.048304557800293,0.2030619431068942,0.6077971978969965,0.0,0.0,0.6077971978969965,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,44,994158204,4.938392877578735,0.2175379539309543,0.6055939135411978,0.0,0.0,0.6055939135411978,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,45,1490049239,4.970179080963135,0.16202942858936623,0.6736073152141315,0.0,0.0,0.6736073152141315,29.0,0.0
