Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,22,1393278237,4.068872928619385,0.15442198029172308,0.7040756758372388,0.2209255375884567,0.646513976285179,0.617598912638216,0.6839505729646227,0.0,0.0,0.6839505729646227,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,23,1637539751,3.916689395904541,0.14677296884405913,0.8332503936949487,0.17778463920975224,0.6756961922158342,0.591399060059425,0.7067776548098453,0.0,0.0,0.7067776548098453,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,24,593586397,3.952275514602661,0.15887588612875653,0.7687219496053679,0.12807340804900816,0.675453277884336,0.6320067400828048,0.7062111121853768,0.0,0.0,0.7062111121853768,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,25,1133977759,3.906691789627075,0.13776423261098544,0.6751414367011412,0.18892917295579723,0.7119070710154639,0.6633062238093166,0.7409162842994773,0.0,0.0,0.7409162842994773,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,26,707841343,4.097229719161987,0.1412862390339912,0.785613311644551,0.1864932936473365,0.717351079862197,0.6494644406054444,0.7460488070372574,0.0,0.0,0.7460488070372574,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,27,585802385,3.8657052516937256,0.12844885506090398,0.7248682319732492,0.15986299589952857,0.7502060915509376,0.6682823910828161,0.7778359840485066,0.0,0.0,0.7778359840485066,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,28,1705642419,3.927283525466919,0.08452461471400104,0.6463862332408796,0.17847800251080062,0.7813379926790194,0.6662709304547441,0.8125901557720637,0.0,0.0,0.8125901557720637,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,29,1875774644,3.9136898517608643,0.1749240625790018,0.5535787326358558,0.20140559540043604,0.6737905447025372,0.7262310916062567,0.7041763945991222,0.0,0.0,0.7041763945991222,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,30,1960497424,3.898291826248169,0.10117772754995101,0.6910963041928465,0.22683485079314722,0.7633209927569118,0.6608549167199798,0.7933412435683436,0.0,0.0,0.7933412435683436,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,31,609630810,3.90869140625,0.09444070475552245,0.6148797469889583,0.12349843349569718,0.7168997609397403,0.7318594690448208,0.7511524347016154,0.0,0.0,0.7511524347016154,24.0,0.0
