ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
0,1086712531,8.532608985900879,0.07231603198791826,0.9977803032895856,24.0,0.0
1,1984980876,7.813888788223267,0.07474649996352517,0.9985811447985824,24.0,0.0
2,1953654075,7.985728025436401,0.06904245453848268,0.9645176532120577,24.0,0.0
3,261253038,8.26701831817627,0.14537590096688865,0.7462068709403339,24.0,0.0
4,540090028,8.063854455947876,0.08352616178528091,0.946667010356819,24.0,0.0
5,869095512,7.860763788223267,0.06079781450328266,0.9853474327945255,24.0,0.0
6,2028400409,8.720112085342407,0.06949455532295758,0.9944404081328454,24.0,0.0
7,769024199,8.470152139663696,0.08154007365828661,0.90130233918417,24.0,0.0
8,745834900,7.970104217529297,0.07650989865285947,0.9140391515448062,24.0,0.0
9,1062619740,7.704511642456055,0.07447675727999233,0.9072327572458134,24.0,0.0
10,1859915496,7.9701011180877686,0.06854674840432536,0.9913987808277359,24.0,0.0
11,1375364205,7.923264265060425,0.05832620551456194,0.9964986859931195,24.0,0.0
12,1663365764,8.548234701156616,0.08407878044298998,0.8507291285356573,24.0,0.0
13,1069973281,8.313901424407959,0.06610698311276675,0.9845226844068631,24.0,0.0
14,2032764502,7.688850402832031,0.06639408820037557,0.9997751803219742,24.0,0.0
15,1738183207,7.923264265060425,0.05565725893116166,0.9995357219239918,24.0,0.0
16,1708487345,8.407608985900879,0.07096090916563114,0.9708195073303627,24.0,0.0
17,2050502706,7.626386404037476,0.05828884579695623,0.9940322340428779,24.0,0.0
18,33973174,8.313857793807983,0.10409737066849725,0.7640561147637377,24.0,0.0
19,434685913,7.376383543014526,0.05711278951263157,0.9981119278977953,24.0,0.0
20,1812608689,7.720099925994873,0.05999911942433373,0.9516437795325497,24.0,0.0
21,2084052603,7.735763072967529,0.06286433504754227,0.9986853969521412,24.0,0.0
22,599999703,7.548224925994873,0.08071143895128616,0.9666341675029626,24.0,0.0
23,1398208754,8.220143556594849,0.06318089973825897,0.9916470376499714,24.0,0.0
24,98400669,7.89197850227356,0.06703705234479358,0.998740306388993,24.0,0.0
25,1455834841,8.392019748687744,0.06918930845812411,0.9901996607975662,24.0,0.0
26,1785736058,8.282605648040771,0.0938732024951803,0.8966086792926599,24.0,0.0
27,1170374427,8.454527139663696,0.09609874188471107,0.8385070250193181,24.0,0.0
28,1493653684,7.8919761180877686,0.06532242810394649,0.9987989149386667,24.0,0.0
29,1466704085,7.81388783454895,0.06986502731870897,0.9430064740604197,24.0,0.0
30,258864802,6.970093250274658,0.06780475364097174,0.9999990683017894,24.0,0.0
31,1650233440,8.563898086547852,0.0669004556691303,0.9233913491401746,24.0,0.0
32,1950053854,8.173231601715088,0.09790557092166488,0.8666689520405733,24.0,0.0
33,231562851,7.454509735107422,0.06121440381554026,0.9999575644638169,24.0,0.0
34,511233635,8.485734462738037,0.05933938625964601,0.9951223714324451,24.0,0.0
35,699550030,8.03264832496643,0.05689472246307956,0.9664316546808565,24.0,0.0
36,864944866,8.251357316970825,0.06470507981368054,0.9939597194758916,24.0,0.0
37,2087744588,8.595152378082275,0.09855981639134712,0.8448812880594148,24.0,0.0
38,668178838,7.90760350227356,0.09818706801925686,0.909762367079357,24.0,0.0
39,1978367492,8.110767602920532,0.06136814983714387,0.9982241349639669,24.0,0.0
40,9155489,8.204481601715088,0.073129155598769,0.9779500060852309,24.0,0.0
41,1104341091,8.31389856338501,0.11366420052722306,0.7736815019143264,24.0,0.0
42,591449774,8.095104455947876,0.058089578793089715,0.9588388643074813,24.0,0.0
43,511055152,7.876389265060425,0.1687289871814725,0.7176062820807644,24.0,0.0
44,1509200690,7.954479932785034,0.058904355918049614,0.9949573081625798,24.0,0.0
45,236539590,8.110767126083374,0.07694732319196461,0.9963958019223021,24.0,0.0
46,1265300326,8.313859224319458,0.0579810623720571,0.9987315008992235,24.0,0.0
47,1493969396,8.3451509475708,0.06751061546915331,0.9882235749621477,24.0,0.0
48,1490049239,7.8294782638549805,0.069619204261756,0.9635055711127661,24.0,0.0
49,1031018765,8.110767126083374,0.07444001954388701,0.9954044047967947,24.0,0.0
50,1011506854,7.720102071762085,0.08567868159688519,0.8906424181170925,24.0,0.0
51,1712498177,8.063891410827637,0.07120799297956734,0.9951464892184189,24.0,0.0
52,1640771411,7.688851594924927,0.07567438051697492,0.9972200636487968,24.0,0.0
53,1226839433,8.095141887664795,0.2653497302661483,0.5985713154656557,24.0,0.0
54,322196933,7.56385064125061,0.05569512887699696,0.9981623111671002,24.0,0.0
55,1299191502,7.485759496688843,0.07392129308786281,0.999161801061717,24.0,0.0
56,2130447669,8.423234701156616,0.10458742168838522,0.8378864674097266,24.0,0.0
57,30578059,8.282650470733643,0.07593644689733046,0.994146591895655,24.0,0.0
58,1373593898,8.641987323760986,0.06630418553327747,0.9498903073669621,24.0,0.0
59,289568835,8.282649517059326,0.06879285881911638,0.9528978223371286,24.0,0.0
60,1041880507,7.673226833343506,0.05960405030274103,0.9894242152916988,24.0,0.0
61,1776145500,8.313893795013428,0.1139327123595782,0.73124506961491,24.0,0.0
62,313735750,8.251357793807983,0.07552957041898749,0.9300550137583489,24.0,0.0
63,424076738,7.53263521194458,0.05937329269303827,0.9998132233392877,24.0,0.0
64,706973201,7.671961069107056,0.07136871643322239,0.8973732828446598,24.0,0.0
