ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
116,96780925,4.0990235805511475,0.06745387975789205,0.7928292953720302,0.2828543620042751,0.9591210661229747,0.7036500071583426,0.514498733096224,0.0,0.0,0.514498733096224,12.0,12.0
117,1763565167,4.517024993896484,0.05192082084906849,0.7264088432956787,0.1389347452810851,0.9564934406737771,0.8317944570566247,0.554850415508372,0.0,0.0,0.554850415508372,13.0,11.0
118,204510539,4.440025329589844,0.05311661483692299,0.7917636220955903,0.1564064116186273,0.9471778408290991,0.8268957874016969,0.4746118202709819,0.0,0.0,0.4746118202709819,11.0,13.0
119,639301049,3.747086763381958,0.06886552645547143,0.8324587232240739,0.2562030108583584,0.9246193526677247,0.6938027814151694,0.3558406864778439,0.0,0.0,0.3558406864778439,8.0,16.0
120,39597631,4.096023082733154,0.06509763760748878,0.8555081949413352,0.26277059738956987,0.9411243012939308,0.7127369927591333,0.5157573685900492,0.0,0.0,0.5157573685900492,12.0,12.0
121,1262334936,4.656027555465698,0.06230390473091811,0.6924081717766637,0.12086593142189958,0.9325338490929057,0.8458392881113135,0.43330154944457233,0.0,0.0,0.43330154944457233,10.0,14.0
122,618109624,4.253024339675903,0.07286617569535533,0.8135905326529165,0.16096683297044512,0.9527779073663075,0.8041714155329973,0.5947645259739415,0.0,0.0,0.5947645259739415,14.0,10.0
123,875028808,3.6350839138031006,0.07340700888615267,0.6968860411152024,0.11036600603624747,0.9662118791395407,0.8608109918177983,0.5163157177549851,0.0,0.0,0.5163157177549851,12.0,12.0
124,284282322,4.144023656845093,0.062093708365548575,0.7031026663517882,0.1664255877756688,0.9593495868202817,0.8069186025979055,0.593888821604236,0.0,0.0,0.593888821604236,14.0,10.0
125,1741905008,4.3070244789123535,0.07885070059539935,0.7311455503400148,0.17012233000151333,0.9631427227253647,0.8184850711111815,0.5148831266956875,0.0,0.0,0.5148831266956875,12.0,12.0
126,1786766734,3.964022397994995,0.06009053023210975,0.8028414357914414,0.17901842157727954,0.9223112440892075,0.7750947078388072,0.39460420337689245,0.0,0.0,0.39460420337689245,9.0,15.0
127,887901447,3.620327949523926,0.08456092008070792,0.7524206698099944,0.2622623458549153,0.9531322066973877,0.7260145492903053,0.31704709927108504,0.0,0.0,0.31704709927108504,7.0,17.0
128,1900185320,3.7294793128967285,0.07995819711628736,0.6215663282626178,0.1717136336408609,0.9553676285808602,0.8052396457270612,0.515138261431851,0.0,0.0,0.515138261431851,12.0,12.0
129,1799965152,3.89456844329834,0.07651526699914873,0.8264264615005346,0.15261408712615332,0.911450361709282,0.789952093942565,0.35525002225144064,0.0,0.0,0.35525002225144064,8.0,16.0
130,1034222827,4.128022193908691,0.0666028767271361,0.7580689636255419,0.21758143317244585,0.9618978605821882,0.7657158723513022,0.6322134367814227,0.0,0.0,0.6322134367814227,15.0,9.0
