Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"(p=(0.980, 1.000), q=(0.980, 0.950), c=0.500)",0.98,0.98,1.0,0.95,0.5,6,157222347,5.738958120346069,0.070343421632147,0.6816916193691679,0.1121623078152959,0.9641963193861279,0.5952764111811817,0.17185971988405527,0.0171444734979317,0.40627221779919476,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 0.950), c=0.500)",0.98,0.98,1.0,0.95,0.5,7,555146585,5.361854076385498,0.07678846428610997,0.5535507121171669,0.1902771869404053,0.9430428655775573,0.43555472498259434,0.10011143434772371,0.018154044121160534,0.31728924651371004,10.0,14.0
"(p=(0.980, 1.000), q=(0.980, 0.950), c=0.500)",0.98,0.98,1.0,0.95,0.5,8,1938679292,5.765588045120239,0.08311416159915995,0.7992229719537081,0.1362906304467987,0.9691858268894876,0.6362000671511459,0.21224583408611264,0.02181564406427193,0.4021385890007614,15.0,9.0
"(p=(0.980, 1.000), q=(0.980, 0.950), c=0.500)",0.98,0.98,1.0,0.95,0.5,9,1003869780,5.81240439414978,0.08422731586822226,0.737878609827682,0.1473820152160572,0.9629838801185099,0.6343347999086447,0.19710081775414331,0.023962251195961876,0.41327173095853953,15.0,9.0
"(p=(0.980, 1.000), q=(0.980, 0.950), c=0.500)",0.98,0.98,1.0,0.95,0.5,10,942922926,5.718767881393433,0.059941636680150484,0.7528812782159965,0.12204310705062542,0.9612855403049906,0.6745149390351698,0.2175619058521113,0.02088829982101825,0.4360647333620403,16.0,8.0
"(p=(0.980, 1.000), q=(0.980, 0.950), c=0.500)",0.98,0.98,1.0,0.95,0.5,11,79574022,5.765586853027344,0.06609020231513703,0.7011293666311063,0.10958537952461793,0.9550043325140911,0.6338962898139626,0.19276016204463078,0.017596661853775408,0.42353946591555647,15.0,9.0
"(p=(0.980, 1.000), q=(0.980, 0.950), c=0.500)",0.98,0.98,1.0,0.95,0.5,12,250947486,5.593965291976929,0.07950076393898631,0.6858302157643043,0.18566490866529314,0.9677463401426539,0.6361009600953631,0.17900573302061892,0.029309884024913368,0.42778534304983085,15.0,9.0
"(p=(0.980, 1.000), q=(0.980, 0.950), c=0.500)",0.98,0.98,1.0,0.95,0.5,13,2129971703,5.969076871871948,0.0719434650278367,0.6558287511237544,0.10750659856402377,0.9775070329000694,0.7552231530818838,0.21373805488816333,0.02151031962273475,0.5199747785709856,18.0,6.0
"(p=(0.980, 1.000), q=(0.980, 0.950), c=0.500)",0.98,0.98,1.0,0.95,0.5,14,1732742425,5.515934467315674,0.06890745020251082,0.6797045116835904,0.1518269816680563,0.9626811422562924,0.5956990449640723,0.16740107302185733,0.02200108150141005,0.406296890440805,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 0.950), c=0.500)",0.98,0.98,1.0,0.95,0.5,15,1178193646,5.390730619430542,0.07523882970203198,0.7539879985131523,0.17004905338430526,0.9720225672530681,0.5566609201121303,0.1686468579501199,0.022384716510639436,0.365629345651371,13.0,11.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,0,1724732347,5.781107664108276,0.0814049713746372,0.6481004585565091,0.16267986244852722,0.9654944768921686,0.5954505093665204,0.1613386195139463,0.023887296033730968,0.41022459381884313,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,1,1805733537,5.523835897445679,0.05978008269425948,0.7018654820851442,0.1299443738346376,0.959128469922866,0.5948895296915054,0.17584185276267242,0.019069437255868803,0.3999782396729642,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,2,1668084895,5.968769073486328,0.07473958792153827,0.7336959400646395,0.15893697201494317,0.9723193488134203,0.7556404773273138,0.2357254771054229,0.03188572357563733,0.4880292766462537,18.0,6.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,3,1126852960,5.56446385383606,0.07540917615272953,0.6500397075897861,0.20108652076656056,0.9667133424404775,0.5965139444576277,0.15640913058924538,0.027468399214506722,0.41263641465387574,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,4,1054128280,6.261136531829834,0.07979365752426724,0.7790463533086728,0.18310407566820228,0.9860179903683466,0.8755388342736627,0.2830750018713938,0.039899288380525276,0.5525645440217437,21.0,3.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,5,368485754,5.966115236282349,0.07005050324649338,0.7185073472957687,0.17471755840801678,0.9818756809936511,0.796173695667392,0.23560981847750498,0.034254879155869306,0.5263089980340176,19.0,5.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,6,157222347,5.515552759170532,0.06893197682474486,0.6872327453745359,0.11751573951438102,0.9607884881900488,0.5948341865217585,0.17448686144726608,0.017802776372331824,0.4025445487021606,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,7,555146585,5.010000228881836,0.07504230720033198,0.5629405436379745,0.200556992107582,0.9435864285187463,0.43565677925082236,0.10150061634530214,0.018706193755941677,0.3154499691495785,10.0,14.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,8,1938679292,5.350047588348389,0.08137745487445393,0.8026442739095017,0.1396496440276743,0.9690962989495533,0.59655978517787,0.19958192420739876,0.02057878274321834,0.37639907822725277,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,9,1003869780,5.592012643814087,0.08255686952461681,0.7379864971603116,0.1510644690149373,0.9584442585957237,0.6336458716772103,0.19917271221677968,0.02444115815280069,0.4100320013076299,15.0,9.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,10,942922926,5.677385568618774,0.058578410535685334,0.7632577648958992,0.12731373777581678,0.9647825651135808,0.6750636938108862,0.22119462031361128,0.02159062629320928,0.4322784472040657,16.0,8.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,11,79574022,5.701886415481567,0.06409634015774679,0.7158595502732013,0.11698448333435836,0.9647723276201732,0.5956114301799288,0.18276552788579653,0.017167001673726992,0.39567890062040534,14.0,10.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,12,250947486,5.456758737564087,0.07704211745361825,0.6959659097831076,0.1965086949393896,0.970263575307527,0.636415914768481,0.18165116166266831,0.030426947981508752,0.42433780512430386,15.0,9.0
"(p=(0.980, 1.000), q=(0.980, 0.975), c=0.500)",0.98,0.98,1.0,0.975,0.5,13,2129971703,5.907811641693115,0.07029432234450683,0.660753140576192,0.11173872641848848,0.9756267140431913,0.7548262868759875,0.21684406351611202,0.022158060296828572,0.5158241630630469,18.0,6.0
