ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
0,1489933983,4.838277816772461,0.1342499977338126,0.7828093348288628,0.16243387106640764,0.7360419431411969,0.7672572788074095,0.0,0.0,0.7672572788074095,24.0,0.0
1,811108630,4.556985139846802,0.13162226396083881,0.7516141202677522,0.1113774809319887,0.7412683976072729,0.7696782641121291,0.0,0.0,0.7696782641121291,24.0,0.0
2,1299892732,4.733001470565796,0.09353943791934358,0.6808707947288898,0.19850862899916139,0.8189997047977248,0.8481524459728482,0.0,0.0,0.8481524459728482,24.0,0.0
3,1980183620,4.574007749557495,0.10026094392243796,0.7381684924552632,0.14930996487970544,0.7650272111325245,0.7947445239378833,0.0,0.0,0.7947445239378833,24.0,0.0
4,564219658,4.331159591674805,0.0716751786582991,0.7588558435712457,0.17978101370182967,0.8555997763097392,0.8815394225039803,0.0,0.0,0.8815394225039803,24.0,0.0
5,416155128,4.385003566741943,0.09031851371489406,0.6962348044743625,0.1146210011967764,0.9215993286112599,0.9386357091946717,0.0,0.0,0.9386357091946717,24.0,0.0
6,188823919,4.427005767822266,0.09208990145501826,0.7658985074662203,0.17662516684102644,0.8118563259740392,0.8408441651621646,0.0,0.0,0.8408441651621646,24.0,0.0
7,2145820292,4.3171608448028564,0.09603189266875381,0.8341302488412425,0.217958883789007,0.8048269181885391,0.8313844938136863,0.0,0.0,0.8313844938136863,24.0,0.0
8,1133977759,4.512001037597656,0.13776423261098544,0.6751414367011412,0.18892917295579723,0.7119070710154639,0.7409162842994773,0.0,0.0,0.7409162842994773,24.0,0.0
9,284694112,4.6090075969696045,0.15990031077343717,0.7221845731943012,0.23719463347465222,0.6805559636578673,0.7145294769929386,0.0,0.0,0.7145294769929386,24.0,0.0
10,609630810,4.510160207748413,0.09444070475552245,0.6148797469889583,0.12349843349569718,0.7168997609397403,0.7511524347016154,0.0,0.0,0.7511524347016154,24.0,0.0
11,1960497424,4.427003383636475,0.10117772754995101,0.6910963041928465,0.22683485079314722,0.7633209927569118,0.7933412435683436,0.0,0.0,0.7933412435683436,24.0,0.0
12,2071076345,4.419008731842041,0.1484015043887598,0.500989028940759,0.08763504214053626,0.7142871532587006,0.7454347373309973,0.0,0.0,0.7454347373309973,24.0,0.0
13,1485092390,4.489161491394043,0.12608120806923856,0.6117318655742736,0.15576931174133996,0.7351507398260927,0.76344705664149,0.0,0.0,0.76344705664149,24.0,0.0
14,1274968857,4.366003513336182,0.12802138532681803,0.8561595319128146,0.1335044220080315,0.706117266855207,0.7348248906737931,0.0,0.0,0.7348248906737931,24.0,0.0
15,124993790,4.532007932662964,0.0589522091640664,0.6145699883357502,0.16569402460963828,0.9682804624885256,0.9766883755442807,0.0,0.0,0.9766883755442807,24.0,0.0
16,964264879,4.581162452697754,0.09457809758598879,0.5911692545499336,0.13618926184832003,0.7806543541052184,0.8136516956867067,0.0,0.0,0.8136516956867067,24.0,0.0
17,763028106,4.386003732681274,0.07506109299220427,0.682407850726808,0.18993444421941827,0.8260407900053319,0.8511031672657254,0.0,0.0,0.8511031672657254,24.0,0.0
18,822550227,4.632322072982788,0.07678751297572223,0.6881495658258142,0.12200881406562303,0.7949065281865119,0.823164991165367,0.0,0.0,0.823164991165367,24.0,0.0
19,1998960458,4.382845640182495,0.06154388079768069,0.6173977876007986,0.1164087088976893,0.9355372729706452,0.9510838428158186,0.0,0.0,0.9510838428158186,24.0,0.0
20,1206534333,4.50500226020813,0.07066891952070783,0.7135724910021753,0.10200523556544812,0.8104047398762462,0.8376849531002705,0.0,0.0,0.8376849531002705,24.0,0.0
21,2131120585,4.728689193725586,0.05956083875413785,0.7453867046708689,0.16612865030829457,0.9900916703743916,0.9928912085399052,0.0,0.0,0.9928912085399052,24.0,0.0
22,1949339909,4.692479610443115,0.08266421918421209,0.7415280393412914,0.19564445579739378,0.7537642179675926,0.7867099569388707,0.0,0.0,0.7867099569388707,24.0,0.0
23,66118438,4.602004051208496,0.14263753069020335,0.7564015796247703,0.10923560131900778,0.7164771660595153,0.7467464365551367,0.0,0.0,0.7467464365551367,24.0,0.0
24,525868732,4.526322603225708,0.10534274465363234,0.7711468342424399,0.15167680184051266,0.8065048374944532,0.8328536713660487,0.0,0.0,0.8328536713660487,24.0,0.0
25,82744573,4.355844974517822,0.10543189378271473,0.707027664857216,0.15363469645412198,0.8123611735077085,0.8443193771382647,0.0,0.0,0.8443193771382647,24.0,0.0
26,1195804508,4.426003694534302,0.11534642506230666,0.7459006373035674,0.1810802660341367,0.7943408572082437,0.826281185236814,0.0,0.0,0.826281185236814,24.0,0.0
27,1934272762,4.4963226318359375,0.16498305809169694,0.5493955720067656,0.1839133118060483,0.6501316237835401,0.6862447731380356,0.0,0.0,0.6862447731380356,24.0,0.0
28,2063369700,4.417846441268921,0.07213696836995835,0.6751323602146716,0.1644822417584163,0.9416055945978806,0.9566745860264924,0.0,0.0,0.9566745860264924,24.0,0.0
29,1139304855,4.551002740859985,0.18934463769906162,0.6761231894864703,0.16701536598790548,0.6117791604054464,0.639866843476873,0.0,0.0,0.639866843476873,24.0,0.0
30,1359219260,4.686691045761108,0.09120062175548516,0.7696543155358941,0.16906946385511,0.7813912537489661,0.8077532029931358,0.0,0.0,0.8077532029931358,24.0,0.0
31,133355962,4.574479103088379,0.12246283200904058,0.7938741247157911,0.17459672108792582,0.782655697527641,0.8137300946669199,0.0,0.0,0.8137300946669199,24.0,0.0
32,1952163933,4.67500376701355,0.12150190962264562,0.6987052536267301,0.1469719070512209,0.7153603530162842,0.742533667620615,0.0,0.0,0.742533667620615,24.0,0.0
33,1377426521,4.528689861297607,0.15780712766315244,0.8318483204235269,0.30197801783311795,0.6533533984019745,0.680679842493852,0.0,0.0,0.680679842493852,24.0,0.0
34,925242917,4.429479122161865,0.15182976429205242,0.7673027469838709,0.20778288273702217,0.653556724222635,0.6891995378963229,0.0,0.0,0.6891995378963229,24.0,0.0
