ID,Seed,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Constant dist. of % I-0,Constant dist. of % I-1,Constant dist. of % I-2,Constant dist. of % I-3,Constant dist. of % I-4,Constant dist. of % I-5,Constant dist. of % I-6,Constant dist. of % I-7,Constant dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
0,1984980876,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04546950955473643,0.003844777133481231,0.9961552228665188,"[0.13159004083447712, 0.004736000999029569, 0.509636652089338, 0, 0.3540373060771551, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.13159004083447712,0.004736000999029569,0.509636652089338,0,0.3540373060771551,0,0,0,2.186434311096519,1,0.9997943510556305,0.9993476688678518,0.9990629004775503,0.8556978480733202,0.890670686724016,0.8708523707323014,0.7599759904616632,-386.2548413718611,-395.844727616613,-419.14672969273687,0.5406147367332872,2.415048727474118,1.9285741040457145,0.01588124876738729,0.033855902195635675,1500,0.9545304904452636,0.0,0.0,0.0,0.4140703202481106,0.5185177991876097,62.967340581776895,29.536947331118792,2.186434311096519,2.185984673188509,2.1850080319269938,2.1843854045477227,1.8709271349589636,1.9473929493412874,1.9040615032688497,1.6616375811549413,26535947.634378325,1264052.3656216725,639.5275498810773,23.01696310706027,2476.833941029489,0.0,1720.621176847435,0.0,0.0,0.0,165697.17485919222,5963.536303302871,641730.5817400075,0.0,445801.07308830466,0.0,0.0,0.0
1,339581809,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04405830133022827,0.017852913870498588,0.9821470861295014,"[0.11530168518190191, 0.0016003082753704707, 0.5063793932356208, 0, 0.37671861330710693, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11530168518190191,0.0016003082753704707,0.5063793932356208,0,0.37671861330710693,0,0,0,2.4357294693306786,1,0.9996161800097526,0.9998890368015323,0.9996140867043859,0.8469848523443094,0.935635671162687,0.843109002149788,0.8459384757392746,-419.93211966716706,-391.25821084610726,-326.0977819076346,0.4335913010415736,1.200878316851772,2.031385026360596,0.030605131628081407,0.014437103259870191,1500,0.9559416986697717,0.0,0.0,0.0,0.8327238371841075,0.49227496856742486,32.67425908021453,69.26597268162722,2.4357294693306786,2.434794587669515,2.4354591929981595,2.4347894889439448,2.063025964931728,2.2789553768079447,2.0535854423942212,2.0604772745988265,26575179.223019652,1224820.7769803458,2521.258116579612,34.99333268149521,11072.805685795514,0.0,8237.562703170654,0.0,0.0,0.0,138702.6415150607,1925.097492565842,609151.1961838936,0.0,453175.2219505985,0.0,0.0,0.0
2,261253038,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.043288875384818556,0.047474235030693306,0.9525257649693067,"[0.1234641410069496, 0.006484859637861433, 0.4978655800695531, 0, 0.3721854192856358, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1234641410069496,0.006484859637861433,0.4978655800695531,0,0.3721854192856358,0,0,0,2.224180675525986,1,0.9996143112491432,0.9996713348659949,0.9998554843345513,0.8826180439403768,0.8760097189140692,0.8849647867706097,0.9777180851068387,-427.74114416944303,-377.76354390439434,-330.0493449291716,0.5438577791225268,2.1299085710806893,2.064411744362558,0.009925253788695472,0.037423389654135296,1500,0.9567111246151815,0.0,0.0,0.0,0.4695037212290349,0.4843994918798413,100.75309118432479,26.721256659055726,2.224180675525986,2.2233228340595623,2.2234496648862128,2.223859246575584,1.9631019972027315,1.9484038883816235,1.9683215772561649,2.1746216710069017,26596569.26430204,1203430.7356979558,7053.747573999358,370.4926998659203,28444.033214435265,0.0,21263.680101384365,0.0,0.0,0.0,141526.79447031015,7433.586705023644,570702.7080873566,0.0,426635.6928455805,0.0,0.0,0.0
3,525643927,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.044614014937250174,0.04916810286861515,0.9508318971313848,"[0.10974105451410852, 0.0021682553842735644, 0.5751635587109637, 0, 0.31292713139065415, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10974105451410852,0.0021682553842735644,0.5751635587109637,0,0.31292713139065415,0,0,0,1.761086330658503,1,0.9990174495445586,0.9999258956419986,0.9996788201173396,0.9153170110282752,0.9302693639299016,0.8838917404735953,0.715102789866729,-497.2314538022415,-310.5570436864171,-301.79986573792894,0.5687890390574338,3.5091028919480953,2.3117429944060035,0.03340972700083952,0.02420645060036494,1500,0.9553859850627499,0.0,2.7730411457184e-311,1.585383237688133e-302,0.28497312013693765,0.43257403717446863,29.93140291074129,41.31130236768062,1.761086330658503,1.759355974482243,1.7609558264865846,1.7605207051574672,1.6119522763410936,1.6382846606473298,1.5566096619300018,1.2593577482500564,26559730.384744443,1240269.6152555547,6692.19650606737,132.22390810024362,35074.45390483228,0.0,19082.829708702953,0.0,0.0,0.0,129416.29895388486,2556.997363128515,678283.4317666303,0.0,369031.1831442081,0.0,0.0,0.0
4,769024199,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04939876139181255,0.03256356366235368,0.9674364363376463,"[0.11584893123447335, 0.001463929072518692, 0.5204840917893189, 0, 0.362203047903689, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11584893123447335,0.001463929072518692,0.5204840917893189,0,0.362203047903689,0,0,0,1.6884729762373112,1,0.9990778227962495,0.9996888849128039,0.999941883964324,0.9843026149490992,0.961382868308958,0.8928909585249484,0.956963425630344,-316.47848106594785,-333.1602131137853,-317.2290065113762,0.5770647745483481,3.459211911853837,2.4869160130511903,0.02641316384465015,0.026685194253408838,1500,0.9506012386081875,3.3229126e-317,0.0,5.90192e-318,0.289083185847405,0.4021044517595521,37.85990977383593,37.47396367078187,1.6884729762373112,1.6869159049494764,1.687947666820081,1.6883748488815862,1.6619683657812736,1.6232689929571893,1.5076222541960052,1.6158068834243198,26426714.433307607,1373285.5666923886,5180.65669440002,65.46554956403394,23275.565563911412,0.0,16197.38416970358,0.0,0.0,0.0,153913.00848664128,1944.927116387261,691497.7253833566,0.0,481210.8337284244,0.0,0.0,0.0
5,745834900,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.053452501112695824,0.04963523314744452,0.9503647668525554,"[0.13516758264575593, 0.0042232488131085395, 0.5305793182911239, 0, 0.3300298502500115, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.13516758264575593,0.0042232488131085395,0.5305793182911239,0,0.3300298502500115,0,0,0,1.7884128976828868,1,0.9991333181328881,0.9991887652792498,0.9992647784300474,0.9532416958081779,0.9598777656345658,0.9962811309565582,0.8884954063732624,-472.47227170842183,-492.2632185435659,-358.55374423274037,0.5823221606470386,4.684201468551867,2.0057489363127505,0.00880402824720297,0.03203699913610547,1500,0.9465474988873042,0.0,0.0,0.0,0.21348355887629072,0.4985668853641974,113.58436978183241,31.213909759513246,1.7884128976828868,1.786862912653556,1.786962075045249,1.7870980179445288,1.7047897433924524,1.7166577762598887,1.7817620243208019,1.5889966442899404,26314020.469067052,1485979.5309329438,9969.547346702091,311.4939112992341,39133.90719391079,0.0,24341.992018274803,0.0,0.0,0.0,190886.71371057822,5964.167379016904,749296.0993230545,0.0,466075.610050107,0.0,0.0,0.0
6,1656585988,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04733092578913075,0.040998072954175756,0.9590019270458242,"[0.09483101206747978, 0.009087693374310644, 0.4821460953823556, 0, 0.413935199175854, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.09483101206747978,0.009087693374310644,0.4821460953823556,0,0.413935199175854,0,0,0,2.043899727293435,1,0.9995517771756033,0.9994798306733391,0.9992629658042794,0.8051127346317806,0.9018390406979567,0.9991883096763834,0.9293190054433791,-460.51009869182104,-353.5466997670935,-329.7845765345012,0.5722208014778292,3.875401914217577,1.73715222272871,0.03602173027162741,0.009026332888529795,1500,0.9526690742108692,0.0,0.0,0.0,0.25803775250544425,0.5756547911668932,27.761020707760174,110.78696214170753,2.043899727293435,2.042983604784884,2.0428365533485264,2.042393303301796,1.645569698754368,1.8432685693451267,2.0422407136623484,1.8994348617943286,26484200.26306216,1315799.7369378346,5115.682995889443,490.237923789498,26009.49339153832,0.0,22329.839296845355,0.0,0.0,0.0,119662.93773604908,11467.34662750015,608398.2120781693,0.0,522325.9868880535,0.0,0.0,0.0
7,680601482,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.047084525058558264,0.028224067255499558,0.9717759327445005,"[0.11655997414879773, 0.0010367773225607312, 0.5096228082412151, 0, 0.3727804402874263, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11655997414879773,0.0010367773225607312,0.5096228082412151,0,0.3727804402874263,0,0,0,1.9191331227499493,1,0.9991355807284227,0.9992373231037133,0.9997376406592917,0.8720917734758095,0.9091620582303394,0.9385702398729778,0.8062137297927321,-482.6681444166287,-316.7265334568243,-322.5789968776446,0.5560019975625812,4.050634093429691,1.935024219159883,0.013646905563991911,0.03256440127396835,1500,0.9529154749414417,0.0,1.8770097e-317,2.5e-323,0.24687492795808058,0.5167893973100572,73.27668498260539,30.708379729965735,1.9191331227499493,1.9174741870939218,1.9176694442563293,1.918629620249133,1.6736602085551717,1.7448030198973623,1.8012412353675968,1.5472314728610097,26491050.203372076,1308949.7966279197,4306.178524644267,38.30258434640578,18827.44748824105,0.0,13771.958496867142,0.0,0.0,0.0,148264.9759323801,1318.7868811679023,648243.2237160468,0.0,474178.9230042259,0.0,0.0,0.0
