ID,Seed,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Constant dist. of % I-0,Constant dist. of % I-1,Constant dist. of % I-2,Constant dist. of % I-3,Constant dist. of % I-4,Constant dist. of % I-5,Constant dist. of % I-6,Constant dist. of % I-7,Constant dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter,Fitness-f_min-0,Fitness-f_min-1,Fitness-f_min-2,Fitness-f_min-3,Fitness-f_min-4,Fitness-f_min-5,Fitness-f_min-6,Fitness-f_min-7,Fitness-b-0,Fitness-b-1,Fitness-b-2,Fitness-b-3,Fitness-b-4,Fitness-b-5,Fitness-b-6,Fitness-b-7,Fitness-t_mid-0,Fitness-t_mid-1,Fitness-t_mid-2,Fitness-t_mid-3,Fitness-t_mid-4,Fitness-t_mid-5,Fitness-t_mid-6,Fitness-t_mid-7,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
75,928081626,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.058902770995556186,0.02329249509600502,0.9767075049039949,"[0.1014567540480064, 0.004156383915440611, 0.5541139442465793, 0, 0.34027291778997354, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1014567540480064,0.004156383915440611,0.5541139442465793,0,0.34027291778997354,0,0,0,2.0445348287311584,1,0.9134239397707411,0.9785263936020839,0.9923933235391607,0.8561282170259858,0.8219478551226912,0.9912783873394029,0.8887764914893811,0.1295510301222473,0.3805988299805335,0.40577137812074926,0.13990178096045788,0.46536163499892635,0.18762002847703899,0.17478665243648156,0.3441660646617839,11.334101605680074,11.764922963484345,10.378908114527803,7.614050340663579,8.770249604694653,8.189488559209368,12.001708857382368,10.578323343074373,1.0,0.9994375371735736,0.9999427805232134,0.9993843108727866,0.9999238736391733,0.9926862792127144,0.9991822620924485,0.9992229898739665,-4.6319723519070335,-4.654766170255732,-3.6588908870718813,0.4032771626326343,1.2902750250629917,2.4624319582870307,0.03695753423287067,0.02535335539339984,1500,0.9410972290044438,2.3336066198191993e-05,2.2142865891424425e-05,0.0002193355928826667,0.7750285641242879,0.4061025916410057,27.058082222124625,39.44251103979423,2.0445348287311584,2.0433848538926633,2.0444178415179866,2.0432760308668994,2.044379185735064,2.0295816718539377,2.0428629350983956,2.0429462044662063,26162502.966323536,1637497.0336764618,3869.7017893118687,158.53026666945343,21134.676953286376,0.0,12978.482617364052,0.0,0.0,0.0,162265.43201074097,6647.536065685104,886225.2630692516,0.0,544217.4109041521,0.0,0.0,0.0
76,334791796,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.041696628955137864,0.008049059933776548,0.9919509400662234,"[0.121590574116933, 0.0036721517582739486, 0.5487270870425148, 0, 0.32601018708227836, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.121590574116933,0.0036721517582739486,0.5487270870425148,0,0.32601018708227836,0,0,0,2.048609261152352,1,0.9407102679372024,0.9262761179069794,0.9370897770888008,0.8700729894268457,0.8565734046296557,0.8843025578540469,0.8136296552287225,0.22417978585489562,0.23637242296279393,0.3902935080855011,0.2956757187704438,0.10653514460352942,0.4778637253271034,0.11846443611848767,0.3434278855284614,11.535047534063295,9.608131190077366,8.078249593196334,7.064756188668196,9.170873070282294,11.564047460951647,8.559159365487668,8.20495282199061,1.0,0.9984739353679564,0.9998995384784987,0.9996867061819175,0.9796630897959236,0.9997647679266725,0.9855310685684373,0.9994153193577036,-3.901052143077986,-3.5577646559185725,-3.9827015861284774,0.5664153579895677,2.987075460926533,1.8764761964234207,0.018034366072818348,0.014218565831980374,1500,0.9583033710448622,0.0001255879168924165,0.00027684414567998017,0.00010406349647879302,0.3347756068036592,0.5329137677877334,55.44968955172836,70.33058128484392,2.048609261152352,2.0454829510140304,2.048403454749015,2.0479674445351663,2.0069468785650577,2.048127362548413,2.0189680742226743,2.047411478973727,26640833.715047166,1159166.2849528324,1134.464240973261,34.2619062986127,5119.732864362409,0.0,3041.7398891641715,0.0,0.0,0.0,139809.22984343398,4222.372605122811,630946.206075699,0.0,374858.27752777823,0.0,0.0,0.0
77,760689156,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.052330180352267254,0.039776928837292974,0.960223071162707,"[0.10569311185327208, 0.006765302539187602, 0.5457017386935237, 0, 0.34183984691401653, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10569311185327208,0.006765302539187602,0.5457017386935237,0,0.34183984691401653,0,0,0,2.5532736404665792,1,0.9131331768948975,0.9295591951563739,0.9671778550201673,0.8482782047682443,0.9881779311521033,0.8249118311195369,0.8647253671251165,0.356830819526774,0.4509827151572271,0.12275589616581471,0.3080969684643703,0.22107066481596727,0.3140670409861189,0.14442732246694803,0.18429298476245806,7.0883728356467905,11.97580544394679,8.739701071988911,12.675831949935933,12.318402555812531,7.005089663815163,12.018244617101791,8.40768019213556,1.0,0.9997542574090668,0.9915564470679935,0.999275540875389,0.9912967502404688,0.9999583780404674,0.976661800011271,0.9939083101829727,-3.8638227969494556,-3.116452007556295,-3.937438421004754,0.40280591994046655,0.9169817788747726,2.904188119006918,0.027140156644430997,0.012306432776452526,1500,0.9476698196477328,0.0001368287007158565,0.0007648001993042987,0.0001154945733848022,1.0905342102076434,0.3443303116128539,36.84577112436063,81.25831572520576,2.5532736404665792,2.5526461923868093,2.5317149393334026,2.5514238980801145,2.5310518622691713,2.55316736821444,2.4936848296194203,2.5377198894308646,26345220.986206967,1454779.0137930294,6116.105392089399,391.4853353592543,31577.926772838175,0.0,19781.12380534575,0.0,0.0,0.0,147644.0156345301,9450.534820611561,762297.5104688676,0.0,477520.31156338734,0.0,0.0,0.0
78,877234946,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.058065609739589984,0.004664008820861282,0.9953359911791387,"[0.12372336598924319, 0.0092306005302765, 0.5318847789797368, 0, 0.33516125450074336, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.12372336598924319,0.0092306005302765,0.5318847789797368,0,0.33516125450074336,0,0,0,1.749016332398598,1,0.9546424936158023,0.9784595541414737,0.964290485922531,0.8291235774788868,0.8022299422027072,0.8227384226747629,0.8466335077185856,0.41932501518752474,0.2341768318404583,0.3669440508843912,0.4069195347756851,0.3569864552200134,0.42868864944715135,0.22284094298370638,0.4371721530433471,7.603459867325983,11.900550841698761,7.6246840291491225,12.24091219822401,10.510116286544047,8.496524744812158,7.189423237459126,11.770091095778916,1.0,0.997974517698614,0.9999631350018773,0.9998009638655391,0.9990301157922236,0.9998314219163583,0.9966991200694182,0.9995255544916749,-3.7568166264450307,-4.376170585704532,-3.785101274986184,0.525034449740343,3.474937511470753,1.8804665622871146,0.010327346011483947,0.017798364902230943,1500,0.94193439026041,0.00017505856880202812,4.205614044224486e-05,0.00016402072416631135,0.2877749590313508,0.531782920289607,96.83029879002854,56.18493639686276,1.749016332398598,1.7454737307724897,1.7489518549147876,1.7486682149486885,1.7473199890786617,1.7487214865770244,1.7432430394887237,1.7481865194557045,26185776.049239397,1614223.9507606013,931.4828787827638,69.49492754330014,4004.430053639619,0.0,2523.346885227307,0.0,0.0,0.0,198785.73776977317,14830.761528332532,854576.7192204604,0.0,538501.9774968419,0.0,0.0,0.0
79,176183409,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05723025932594815,0.007313089266053303,0.9926869107339467,"[0.11935016842269382, 0.005132726918180033, 0.5136874017842814, 0, 0.3618297028748448, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11935016842269382,0.005132726918180033,0.5136874017842814,0,0.3618297028748448,0,0,0,1.6971931418168522,1,0.9474786901556654,0.9269319945706286,0.9575026618943518,0.9839054264083862,0.9101278893148281,0.815387549996706,0.7054285137271155,0.1785472722409797,0.373844234809127,0.13045885531654844,0.3514273204436521,0.1321592738411726,0.24785285394935822,0.2437998211407503,0.20497689924478607,10.619407253742043,12.921161925681673,12.252561047342581,10.041541233923851,12.811108287905938,11.003793146378976,11.364575011964266,8.056536095247957,1.0,0.9994277339956229,0.9883314862036973,0.9997781702194438,0.9973151015213735,0.9972726320223104,0.993556284387961,0.9911024647611756,-3.4580490952489478,-3.2827508457314956,-3.395238561144194,0.5028251054822358,2.8269859083951276,2.177710630549522,0.02722745336674369,0.015249753522883519,1500,0.9427697406740518,0.0003482979391256358,0.000521493805726805,0.00040249587965132384,0.3537336344798752,0.4591978318752389,36.727636129988774,65.57483034066203,1.6971931418168522,1.6962218958789286,1.6773894202265718,1.6968166538346414,1.6926363505324529,1.6925642715899065,1.6862569118722814,1.6820923060304456,26208998.79073864,1591001.2092613582,1388.6551864951134,59.719964789245395,5976.821684897637,0.0,4209.937029545067,0.0,0.0,0.0,188497.60709955753,8106.4547688435105,811300.4557362193,0.0,571461.557791011,0.0,0.0,0.0
80,1378436585,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04464320235289341,0.03377540691916544,0.9662245930808345,"[0.11670250468040223, 0.0012438592494230804, 0.5358319912151916, 0, 0.3462216448549829, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11670250468040223,0.0012438592494230804,0.5358319912151916,0,0.3462216448549829,0,0,0,2.2824704729895826,1,0.9032035314858196,0.9050069045593011,0.9033472177256083,0.8854486643269863,0.9448645625862516,0.9930105960802753,0.7446698411688519,0.1084981298038092,0.3572982933159988,0.20807620695246765,0.3651361119643052,0.14536217650438044,0.24783716508407427,0.13358556587226655,0.3804425553351226,9.17566623260903,7.529062405407246,8.561518937504378,9.629813163145482,10.185588708074807,7.842737476943437,11.563482822976468,9.580394352945959,1.0,0.9998107736488012,0.9969806316931017,0.999645743977023,0.9880557782672369,0.9992226371402082,0.9990020239816529,0.9992733066367945,-4.562992895964265,-3.2832478866562447,-3.6460977714909584,0.5832946849645504,2.248535295746855,2.059719117572941,0.0066270069077848884,0.012025372415561404,1500,0.9553567976471066,2.735313469232339e-05,0.0005208973084094815,0.00022589271670754016,0.4447339572082849,0.4855030918867931,150.8976848696624,83.15750776299888,2.2824704729895826,2.28203856943026,2.2755788539820068,2.281661894077259,2.2552081395617103,2.2806961652153093,2.2801926221949538,2.2808118168451483,26558918.97458956,1241081.0254104366,4891.937534627377,52.14011273117117,22461.014330911003,0.0,14512.92467462304,0.0,0.0,0.0,139945.3266420925,1491.5900000090815,642549.9027741551,0.0,415176.1893412871,0.0,0.0,0.0
81,1335074353,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05037400502548825,0.032779190534157225,0.9672208094658428,"[0.11593547751806535, 0.0054058330191940306, 0.5669023447836616, 0, 0.311756344679079, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11593547751806535,0.0054058330191940306,0.5669023447836616,0,0.311756344679079,0,0,0,2.3101829789993156,1,0.9749135944441719,0.9882212969989154,0.9091917348925161,0.8643677454337478,0.8193848192880541,0.8144713520017453,0.7468948751292974,0.16157539290296952,0.1759058718500727,0.34029738373582674,0.36763423455031186,0.38939209834508837,0.41711216439951093,0.33426189546983404,0.4897129387996596,12.443981236930464,7.838354161498211,8.575285233842788,7.691520657018897,12.916961245150823,12.58474210642126,10.760577429242838,8.454267046930436,1.0,0.9988276448202124,0.9999558518998111,0.9998426218771569,0.9987745361232395,0.9989796256864416,0.9984137788606502,0.9999226753577897,-4.0294782234814335,-3.9557186033278398,-4.211872330549549,0.3835985830284999,1.1354618518067827,2.029442738845715,0.009988492327949376,0.009667736119684082,1500,0.9496259949745117,9.343762188432644e-05,0.00011073410418964804,6.139424591651091e-05,0.8806988965844765,0.49274610259206897,100.11520929958992,103.43683232767813,2.3101829789993156,2.3074746240176283,2.310080988809704,2.3098194067386566,2.307351933209845,2.307825727627925,2.3065185179222607,2.310004344927024,26399602.660291422,1400397.3397085732,5321.889548740679,248.14877087648244,26023.023568351964,0.0,14310.829333865098,0.0,0.0,0.0,157033.84474540112,7322.165408111601,767865.51194124,0.0,422271.9263919861,0.0,0.0,0.0
82,1627675661,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04646704888775478,0.01297743704858706,0.9870225629514129,"[0.09952612621054108, 0.003201059133666204, 0.5505995136509068, 0, 0.34667330100488597, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.09952612621054108,0.003201059133666204,0.5505995136509068,0,0.34667330100488597,0,0,0,1.9131507362947635,1,0.9468564627013711,0.9340995234046243,0.986775054082051,0.9858560900285167,0.9005422841861447,0.8229681227443535,0.9009335209018837,0.13839717654287323,0.270833667707656,0.10296928399972233,0.24278380365630123,0.3264225428464237,0.3723375789891512,0.27398337157717534,0.3611806537503691,8.393963700068548,8.333639272314201,9.169861632673626,8.549528921168006,9.807959294967846,9.945191517317669,7.344456807158251,7.435431183163105,1.0,0.9994210622858044,0.9891857755800562,0.9997596066252907,0.9999007885852945,0.9996329566397881,0.9986001921848429,0.9998250077356776,-4.019371380818872,-3.6531558764336243,-4.281620938100577,0.5606793636319771,4.416884567181402,1.5928503729931272,0.007576828442103828,0.003235977607051666,1500,0.9535329511122452,9.563758901233735e-05,0.0002222512046228452,5.228523470748146e-05,0.22640392448339253,0.6278053588429017,131.98134386190932,309.02562422584583,1.9131507362947635,1.9120431411805814,1.8924614948832912,1.9126908275329382,1.912960929903671,1.912448527019922,1.9104726929425244,1.9128159497154293,26508216.040920414,1291783.9590795827,1668.4604593977535,53.66269939430665,9230.275028958924,0.0,5811.646821578862,0.0,0.0,0.0,126897.79288870921,4081.4141415408812,702025.3445823021,0.0,442015.3624577006,0.0,0.0,0.0
83,1810005189,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.0566565666115913,0.029837413347896857,0.9701625866521031,"[0.13257066924672714, 0.003975343068981755, 0.5231179046020098, 0, 0.3403360830822813, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.13257066924672714,0.003975343068981755,0.5231179046020098,0,0.3403360830822813,0,0,0,1.7203388409737217,1,0.9696963802814957,0.9591452821981825,0.9170118880313469,0.9369228411344066,0.9354399564263249,0.944485002341382,0.7486341051666144,0.44682901494162686,0.1526104903214076,0.27983836198330525,0.40680293332854967,0.4250637024320665,0.20895180546398878,0.27963586022029385,0.39839835439872406,8.244528838195135,7.724740168801629,11.861515096678634,8.492748160839422,9.995479478674447,8.682636518616516,7.847810159471733,8.623971339366175,1.0,0.9979691620128599,0.998986280832978,0.9998987233187127,0.9998921544563023,0.9979261207133958,0.9995427872587542,0.9996288279024796,-4.5544099548857435,-3.5227240419878356,-3.0369154159269756,0.6094296639609973,3.024814648328856,2.880518849427459,0.018712790809878387,0.02188234819785678,1500,0.9433434333884088,2.7899090464596336e-05,0.0003001068842844414,0.0009185114702186332,0.33059876926755766,0.34715967930526237,53.43938326249579,45.69893463709452,1.7203388409737217,1.7168451115047196,1.7185949005168542,1.7201646107652182,1.7201533100960726,1.7167710658854856,1.7195522801363685,1.7197002991976718,26224947.44819776,1575052.5518022378,6230.224095506626,186.8232114765977,24584.184364165747,0.0,15994.262361634122,0.0,0.0,0.0,202575.54679568138,6074.551033612454,799354.0061726694,0.0,520052.9537674914,0.0,0.0,0.0
84,323725070,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05417437618735218,0.02979889292628704,0.970201107073713,"[0.12767886606885792, 0.0014924274006617047, 0.53833082235539, 0, 0.3324978841750903, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.12767886606885792,0.0014924274006617047,0.53833082235539,0,0.3324978841750903,0,0,0,1.7145365210356316,1,0.9702507331811463,0.9680792625465825,0.9342906499653976,0.8003016593105794,0.8333608964001327,0.9265141517450629,0.9805114249754296,0.4133749976549156,0.2204630161785556,0.2345307322268485,0.19342064344795548,0.4988063219270835,0.15197192576126214,0.2090860150984069,0.41539416838321663,10.615394083264636,9.951090638361993,7.9109232249522545,12.297451921621033,8.639097853339742,12.479642874550127,9.588662874628882,11.213611496006108,1.0,0.9989554630891688,0.9994277826753735,0.9947955742955406,0.9999424332061322,0.9783154500395335,0.9971719856988763,0.9999362156183135,-4.28099080895562,-4.0602179032356975,-4.239641783641915,0.5213186041565303,4.084771768552,1.8787898241272605,0.02310199519768489,0.007262287542977445,1500,0.9458256238126478,5.236115177437528e-05,8.705267016494957e-05,5.759147696039574e-05,0.24481171939613347,0.5322575134046844,43.286304556942014,137.69765987398685,1.7145365210356316,1.7127456243544419,1.7135554335345902,1.7056133430943192,1.7144378206651463,1.6773575681861899,1.709687787234344,1.7144271603837584,26293952.341991603,1506047.6580083903,5730.042745450637,66.9779820543001,24159.50829032586,0.0,14922.023885046588,0.0,0.0,0.0,186560.4144747198,2180.68880945981,786592.3659517401,0.0,485835.6358695932,0.0,0.0,0.0
