Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,0,1763909319,5.157011032104492,0.0803121036420293,0.6842432114678536,0.17339501817420824,0.9622449003458765,0.804562455255832,0.43682733293006953,0.0,0.0,0.43682733293006953,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,1,1489933983,4.152008533477783,0.07065142599301093,0.7521000666601233,0.14936130301762218,0.9560175482500154,0.8231079610319552,0.5552018944323325,0.0,0.0,0.5552018944323325,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,2,453741709,4.173008918762207,0.08129554128680747,0.7384775878824245,0.18983368550352087,0.9576930337128026,0.7936789966632262,0.43622300104116946,0.0,0.0,0.43622300104116946,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,3,811108630,4.293006658554077,0.06683735878369762,0.7317547694539874,0.14329931686796396,0.9664464894819323,0.8296651959532452,0.556882268722442,0.0,0.0,0.556882268722442,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,4,1299892732,4.650008916854858,0.07306528389428543,0.6591914211702817,0.1854059167559513,0.9536288000628889,0.7950037830916377,0.6327065475628882,0.0,0.0,0.6327065475628882,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,5,1522912140,4.289008617401123,0.08094294114286922,0.5871336252490245,0.14058905580215672,0.9539468569392003,0.8358644068128873,0.4763342449752386,0.0,0.0,0.4763342449752386,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,6,1980183620,4.460009813308716,0.0624893169049377,0.7182578165690252,0.1490919776151095,0.9566691684439182,0.8252749557984399,0.5542374431357577,0.0,0.0,0.5542374431357577,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,7,2145820292,4.853010416030884,0.0703414194981481,0.8137375260820214,0.23742716385998072,0.9504038413790419,0.7244191235251866,0.6329331859685362,0.0,0.0,0.6329331859685362,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,8,188823919,5.3820106983184814,0.06901323975058268,0.8748004227720767,0.18553650307738803,0.9695367401375727,0.812802150258898,0.5960607377975828,0.0,0.0,0.5960607377975828,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,9,317817050,4.8690104484558105,0.07920659844699257,0.6081408165969652,0.17207897584463672,0.9523251185872675,0.8119768848717771,0.43591454054268075,0.0,0.0,0.43591454054268075,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,10,1393278237,5.046010255813599,0.06851401088381491,0.7108816861108339,0.2179399730960111,0.9589499530561355,0.7656015672690992,0.43607415183041637,0.0,0.0,0.43607415183041637,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,11,593586397,4.455009460449219,0.07369651972958989,0.7506077186137784,0.1453588102464472,0.9470765997738542,0.8176091273869212,0.4744326905930676,0.0,0.0,0.4744326905930676,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,12,1133977759,5.532009124755859,0.07109447577578613,0.6581133866899813,0.18997387175573216,0.9551969909577984,0.794528256827634,0.5149089409203242,0.0,0.0,0.5149089409203242,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,13,1960497424,5.5910115242004395,0.07268336127398584,0.6655121110644215,0.21782652112256407,0.9649834883733408,0.7666668698916673,0.5148724578864462,0.0,0.0,0.5148724578864462,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,1.0,14,609630810,5.189012050628662,0.0506667069544437,0.6007060299820329,0.1254955892283627,0.9513829269320461,0.854368944288143,0.5139368621255719,0.0,0.0,0.5139368621255719,12.0,12.0
