Scenarios,sensitivity,specificity,rapid test coverage,if M is available for 1st-Tx,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,False,40,1712498177,4.7096192836761475,0.10266379860184838,0.7924729637413408,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,41,1031018765,4.843928575515747,0.11462773044863257,0.7810852746636288,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,42,30578059,4.834623336791992,0.16628892679057433,0.6994183785092554,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,43,839032799,4.843928098678589,0.1239572884815267,0.6632305476635804,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,44,1373593898,4.693994760513306,0.0785553967088957,0.8293080977283027,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,45,1776145500,4.812677383422852,0.12084219291900704,0.6661719538469633,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,46,36293875,4.975255489349365,0.06523619580315236,0.8236080913234332,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,47,706973201,4.937680006027222,0.13107154335390483,0.6658869837090909,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,48,391356322,4.693994760513306,0.13481000398088444,0.710876236757551,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,49,1330772117,4.562664031982422,0.08658957706732716,0.8379858554549491,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,50,441846862,4.834624767303467,0.07044033045047579,0.8523186514276093,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,51,1235262303,4.92205548286438,0.09477714792956564,0.7932968708468474,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,52,1181940678,4.897126913070679,0.10684836027997038,0.7510933764697814,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,53,131650723,4.937679767608643,0.2021807300941704,0.547134696158253,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,54,620684410,4.818998336791992,0.10816449094615098,0.8176525639415362,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,55,18479805,4.54703950881958,0.05999893850614687,0.9855583189026722,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,56,2080398871,4.897126197814941,0.11285071916636777,0.8116774650323215,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,57,2133982530,4.687670469284058,0.06299847197294872,0.9443764916541652,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,58,2067850734,4.850249290466309,0.14601279250612292,0.7178793412145812,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,59,869564675,4.937679767608643,0.20133811813738078,0.6022678088782936,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,60,1987036835,4.975255012512207,0.17960466402619002,0.6354088591746999,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,61,1157669990,4.797049522399902,0.20762613127885413,0.5263745205391468,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,62,352915376,4.834624528884888,0.06511224363957789,0.8174023375950947,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,63,711059338,4.797048568725586,0.11094194869630801,0.728560980956179,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,64,743055457,4.593915700912476,0.05604660389509654,0.9927539329678503,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,65,2044735716,4.860872268676758,0.10874677823694652,0.7499438205118424,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,66,1787134341,4.703294277191162,0.14394135682398504,0.7018338111333796,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,67,2083294667,4.767118453979492,0.05493539133424059,0.8848365015853129,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,68,1983914911,4.765795946121216,0.20140960588970006,0.6676774657952652,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,69,518286560,4.5952372550964355,0.12492503274602336,0.7884595746471978,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,70,123163740,4.843924283981323,0.11927155449487484,0.7484673067459094,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,71,971748365,4.688990592956543,0.14578803570776808,0.7375921900888839,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,72,2036913598,4.703294277191162,0.049409678229552875,0.976824695410379,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,73,1187425824,4.735867023468018,0.10007724118959963,0.7574813464473901,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,74,613823640,4.812673568725586,0.16499849068152317,0.7410145275276868,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,75,670447747,4.798370599746704,0.13640935283929165,0.5679194800033395,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,76,1393331038,4.3126561641693115,0.07490414943117991,0.9989627515231402,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,77,11993418,4.657739877700806,0.14403678845339196,0.6693942789795129,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,78,1195091225,4.906427621841431,0.12102204800340706,0.7247626131649001,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,79,1417669959,5.001501798629761,0.13577398125431317,0.6489310353603228,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,80,1265045594,4.562664747238159,0.1541040633451981,0.7143181248709575,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,81,1196383116,4.7202417850494385,0.2175636068970662,0.6163142512479513,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,82,1505973153,4.876495122909546,0.17012563085055327,0.6919673870164833,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,83,353529684,4.859550714492798,0.2467443626381605,0.5458067592521438,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,84,1925815380,4.7202417850494385,0.07017146950051976,0.9718171481070603,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,85,420514926,4.937680006027222,0.14240327160307437,0.6938208082992003,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,86,117696144,4.876495361328125,0.10147855691024113,0.8108284126575417,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,87,852733916,4.8126771450042725,0.10245822131978519,0.7333894456938529,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,88,557528785,4.720239639282227,0.12615567531063018,0.7571279035067134,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,89,899771096,4.625174283981323,0.20208885957404976,0.6132927732787289,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,90,627893408,4.9077489376068115,0.08604218402608653,0.8171398122054353,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,91,1017092932,4.703296422958374,0.08917821769607792,0.9549184845369423,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,92,2119065329,4.829620361328125,0.13643962714313265,0.7227472388078576,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,93,156987350,4.5314178466796875,0.1352380270640508,0.7307099388792038,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,94,902488538,4.579610586166382,0.11523855104496038,0.6998232981888358,20.0,0.0
