ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
45,925242917,7.387030839920044,0.0943380279623062,0.5702256237835951,0.1283113476061559,0.8154493839175941,0.8719006001535854,0.8472532252832934,0.3750212987832,0.04360051915416646,0.42863140734592714,24.0,0.0
46,952469479,6.930027484893799,0.15433938890996202,0.5861631396318336,0.16885652594526815,0.7391731982458452,0.8326583809941371,0.7656866381991967,0.3713919243231196,0.05582002981916825,0.33847468405690867,24.0,0.0
47,1750347194,7.441028594970703,0.13836030048349648,0.5184352056970465,0.13102486488220133,0.791487399780203,0.8693778001869904,0.8199998997155876,0.3319550301683074,0.044373865232670597,0.4436710043146095,24.0,0.0
48,246647841,7.926029682159424,0.08217606929957583,0.5524106335558853,0.10634288966126572,0.8034065949224246,0.8966875080570565,0.8300806581424084,0.3560434342123293,0.03690367106795116,0.4371335528621278,24.0,0.0
49,491653253,7.561030149459839,0.10042588424925976,0.4575001742558076,0.09584583711987671,0.8056451884920471,0.9062672916144261,0.8319209265060491,0.2943943334339781,0.031786502621034246,0.5057400904510363,24.0,0.0
50,1121720901,7.011027574539185,0.08651434816856435,0.5555614099489861,0.12211810070866722,0.8220800737682177,0.8789923897525166,0.8457749321006577,0.3633209781917815,0.03893139020751749,0.44352256370135884,24.0,0.0
51,789227114,7.882029056549072,0.11525367862449772,0.48127243155866006,0.10374977964312147,0.8196877993761149,0.9006378047046024,0.8475754196749476,0.3096103345707054,0.034736305601892656,0.5032287795023491,24.0,0.0
52,989475898,8.139031887054443,0.05866377889636312,0.6636890626701809,0.15253738845945056,0.9169405646505475,0.8513534347885653,0.933691526915439,0.42898209725341907,0.05094646831199758,0.4537629613500224,24.0,0.0
53,753262276,7.621029376983643,0.08673767147304626,0.4892906041247308,0.12270616815105574,0.8608244399599662,0.8839869109694427,0.8899748603409715,0.31360830213742835,0.04217589562127827,0.5341906625822649,24.0,0.0
54,1899116481,7.349030017852783,0.16794341697027584,0.5144504935677264,0.08157404150675582,0.7002024728714653,0.9223412804545242,0.74059365324481,0.3552668904324871,0.028317841177829105,0.3570089216344941,24.0,0.0
