Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,0,1086712531,4.563309907913208,0.0676185277148961,0.7954430392404636,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,1,1984980876,4.4845476150512695,0.07286841767890902,0.7961520355798816,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,2,1953654075,4.360176086425781,0.06395876603723252,0.6751269008207648,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,3,261253038,4.359540700912476,0.07217769355713913,0.4755811728034049,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,4,540090028,4.282048225402832,0.07384982335428476,0.6359772390650722,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,5,869095512,4.515798568725586,0.05690825567025262,0.7150572341157477,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,6,2028400409,4.5008063316345215,0.06531646263546226,0.7548529701742993,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,7,769024199,4.375166416168213,0.06553007653418642,0.5939863816727717,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,8,745834900,4.563309192657471,0.06305011781476938,0.5540920181071903,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,9,1062619740,4.328290939331055,0.061039504503508014,0.6752480693771887,16.0,8.0
Status quo (no rapid test),0.0,1.0,0.0,10,1859915496,4.328925371170044,0.06484538397612058,0.6354738810579118,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,11,1375364205,4.40641713142395,0.05524638061099003,0.6350773688634471,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,12,1663365764,4.735189914703369,0.06180343335301198,0.4744450426814689,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,13,1069973281,4.4689202308654785,0.06240652633210906,0.7939546461653435,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,14,2032764502,4.57893443107605,0.06555464056738139,0.7957235524360459,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,15,1738183207,4.375165700912476,0.05491171059563141,0.7551934488163158,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,16,1708487345,4.485177755355835,0.06401571798843847,0.59428960515994,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,17,2050502706,4.375166654586792,0.055223416578908856,0.7958642070198308,19.0,5.0
Status quo (no rapid test),0.0,1.0,0.0,18,33973174,4.188295841217041,0.05461373696699358,0.434782673343151,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,19,434685913,4.2814130783081055,0.05356328252709101,0.9992985433493157,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,20,1812608689,4.516433000564575,0.05383358472425678,0.7149216276319755,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,21,2084052603,4.531421661376953,0.06281964583087156,0.7136821065122098,17.0,7.0
Status quo (no rapid test),0.0,1.0,0.0,22,599999703,4.3582024574279785,0.07415229124493398,0.636939473331397,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,23,1398208754,5.375203609466553,0.061360503792878246,0.6338032504818762,15.0,9.0
Status quo (no rapid test),0.0,1.0,0.0,24,98400669,4.56133508682251,0.06317028762055533,0.7567820307635454,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,25,1455834841,5.328326940536499,0.0657792775063189,0.5940093631956084,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,26,1785736058,4.170695781707764,0.07000429460508896,0.3970055978445675,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,27,1170374427,4.218910455703735,0.06180982184313983,0.5960617399140924,14.0,10.0
