Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,26,1509977740,4.350487470626831,0.061259508619815696,0.8474306227105688,0.20235370039449282,0.9607444373690107,0.4961737520843138,0.0,0.0,0.4961737520843138,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,27,483706708,4.328329563140869,0.06836031798949421,0.6561694057239158,0.11510408077430073,0.9400078628307967,0.4619683433518527,0.0,0.0,0.4619683433518527,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,28,531799215,4.358744144439697,0.06460242656150024,0.6667077461269018,0.16619069301472497,0.9551920756147666,0.4965563445997014,0.0,0.0,0.4965563445997014,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,29,1136840914,4.312704563140869,0.05665345503359504,0.8338139957879067,0.2289488643949887,0.9507403639636394,0.39681819795907897,0.0,0.0,0.39681819795907897,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,30,1761654661,4.400252342224121,0.060644820259859754,0.553722886796073,0.14129204188020947,0.917900708279142,0.32875687613622934,0.0,0.0,0.32875687613622934,9.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,31,759719521,4.406463861465454,0.06498093734669136,0.7345216571587316,0.15492607641030365,0.9457016285080412,0.3966545355213983,0.0,0.0,0.3966545355213983,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,32,1511148819,4.305499315261841,0.06616336203789382,0.8421658921400146,0.18220110958542682,0.9458735268668618,0.43017495289426705,0.0,0.0,0.43017495289426705,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,33,1533092559,4.437714576721191,0.07259990831413879,0.77267883046706,0.2619990202402506,0.9523764324259113,0.4292221710987272,0.0,0.0,0.4292221710987272,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,34,2007233909,4.4225075244903564,0.071860279111561,0.5479380429899999,0.12285838103633223,0.9448618453759,0.3966139891715313,0.0,0.0,0.3966139891715313,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,35,2017903790,4.359585762023926,0.05114204213074947,0.7368958157473796,0.14322713749031454,0.9525900734061018,0.43015880772384446,0.0,0.0,0.43015880772384446,12.0,17.0
