ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
0,1086712531,8.017057657241821,0.07231603198791826,0.9977803032895856,24.0,0.0
1,1984980876,7.641200065612793,0.07474649996352517,0.9985811447985824,24.0,0.0
2,1953654075,7.142048120498657,0.06639964120858148,0.7953408762498724,19.0,5.0
3,261253038,6.031317472457886,0.07476604510180666,0.5163440881360556,12.0,12.0
4,540090028,6.782668828964233,0.07631287415699177,0.7564691186234027,18.0,6.0
5,869095512,7.094318389892578,0.06026909212504921,0.8752904268979677,21.0,3.0
6,2028400409,7.860806226730347,0.06949455532295758,0.9944404081328454,24.0,0.0
7,769024199,6.5318121910095215,0.06932962541899737,0.6350768012707393,15.0,9.0
8,745834900,6.985796689987183,0.06552925495130485,0.6761606403575597,16.0,8.0
9,1062619740,7.016192436218262,0.06397134963513483,0.7139280543217807,17.0,7.0
10,1859915496,7.923306703567505,0.06848811674332193,0.9534478864294575,23.0,1.0
11,1375364205,7.797451496124268,0.05832620551456194,0.9964986859931195,24.0,0.0
12,1663365764,6.392040014266968,0.0638851199834705,0.5939519017686532,14.0,10.0
13,1069973281,7.344321250915527,0.06554380027766193,0.8747484469212291,21.0,3.0
14,2032764502,7.657678604125977,0.06639408820037557,0.9997751803219742,24.0,0.0
15,1738183207,7.688075304031372,0.05565725893116166,0.9995357219239918,24.0,0.0
16,1708487345,7.626429080963135,0.06851346843767418,0.7940527401109351,19.0,5.0
17,2050502706,7.609949111938477,0.05823177672399665,0.9562648962866704,23.0,1.0
18,33973174,6.220163345336914,0.05678468275928404,0.5536655018902882,13.0,11.0
19,434685913,7.3599467277526855,0.05711278951263157,0.9981119278977953,24.0,0.0
20,1812608689,6.735793352127075,0.05696497798057237,0.7947655717824703,19.0,5.0
21,2084052603,7.594324111938477,0.06286433504754227,0.9986853969521412,24.0,0.0
22,599999703,6.87641978263855,0.07749190179739593,0.8356194787676621,20.0,4.0
23,1398208754,7.844326734542847,0.06313398462359492,0.9537017231041056,23.0,1.0
24,98400669,7.798304080963135,0.06703705234479358,0.998740306388993,24.0,0.0
25,1455834841,7.9849534034729,0.06914011564175157,0.9522219219715511,23.0,1.0
26,1785736058,6.84516978263855,0.07419319176136542,0.5966492498847483,14.0,10.0
27,1170374427,6.797440052032471,0.06515360218037441,0.635589216116029,15.0,9.0
28,1493653684,7.938931941986084,0.06532242810394649,0.9987989149386667,24.0,0.0
29,1466704085,6.60993766784668,0.063580742961258,0.7565808284416515,18.0,6.0
30,258864802,7.048295497894287,0.06780475364097174,0.9999990683017894,24.0,0.0
31,1650233440,6.734941005706787,0.059714194203481175,0.714914247221413,17.0,7.0
32,1950053854,6.501416921615601,0.07076543032596119,0.6367113349767373,15.0,9.0
33,231562851,7.172444105148315,0.06121440381554026,0.9999575644638169,24.0,0.0
34,511233635,8.173310041427612,0.05931995028632557,0.956035868714008,23.0,1.0
35,699550030,7.031818866729736,0.05534267757961828,0.7939769723784289,19.0,5.0
36,864944866,8.126435279846191,0.06470507981368054,0.9939597194758916,24.0,0.0
37,2087744588,6.328685283660889,0.07335458777207783,0.5953086718691347,14.0,10.0
38,668178838,6.845169305801392,0.08040050798570288,0.7148940170811211,17.0,7.0
39,1978367492,8.234956741333008,0.06136814983714387,0.9982241349639669,24.0,0.0
40,9155489,7.423300504684448,0.07199027050184723,0.8324990628674348,20.0,4.0
41,1104341091,6.250559329986572,0.05960503015899714,0.5563481679530502,13.0,11.0
42,591449774,7.017046928405762,0.0556667596522949,0.7153347832877236,17.0,7.0
43,511055152,6.250069856643677,0.06523125489770772,0.5170832718982953,12.0,12.0
44,1509200690,8.251435995101929,0.058904355918049614,0.9949573081625798,24.0,0.0
45,236539590,7.984954595565796,0.07694732319196461,0.9963958019223021,24.0,0.0
46,1265300326,7.735805511474609,0.0579810623720571,0.9987315008992235,24.0,0.0
47,1493969396,7.625574588775635,0.06724305427957615,0.9144242599876401,22.0,2.0
48,1490049239,7.313926696777344,0.06664357793432776,0.7562847552546762,18.0,6.0
49,1031018765,8.313081741333008,0.07444001954388701,0.9954044047967947,24.0,0.0
50,1011506854,6.204538583755493,0.06813722376568776,0.7158982503726554,17.0,7.0
51,1712498177,8.016203880310059,0.07120799297956734,0.9951464892184189,24.0,0.0
52,1640771411,8.267061948776245,0.07567438051697492,0.9972200636487968,24.0,0.0
53,1226839433,6.0943074226379395,0.07739909171209952,0.436356660890265,10.0,14.0
54,322196933,8.110810041427612,0.05569512887699696,0.9981623111671002,24.0,0.0
55,1299191502,7.64120626449585,0.07392129308786281,0.999161801061717,24.0,0.0
56,2130447669,6.407665967941284,0.0681240194467661,0.5958970657293956,14.0,10.0
57,30578059,8.016204357147217,0.07593644689733046,0.994146591895655,24.0,0.0
58,1373593898,7.017048358917236,0.062221633573014454,0.7159769146021291,17.0,7.0
59,289568835,7.453697443008423,0.06350075589938936,0.7168165504784311,17.0,7.0
