ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
0,625657653,7.4270339012146,0.11393944617398119,0.5239981681351709,0.14413811970983179,0.7846032287029375,0.8137154134497965,0.3400806376261257,0.04402188631474187,0.42961288950892895,24.0,0.0
1,1698271443,7.530762195587158,0.09095946135815712,0.6754016457241612,0.14507070100735123,0.9219065639069622,0.9393822593147041,0.4460209112536273,0.04235291080440461,0.45100843725667183,24.0,0.0
2,574269003,7.362285137176514,0.08744244045520297,0.5763195019316711,0.11631754613285535,0.8527152993203276,0.8797160398914496,0.382314385184023,0.03366599238728116,0.4637356623201455,24.0,0.0
3,1306270088,7.582673788070679,0.08917370380822011,0.5180866423718729,0.11090236078695978,0.8239215208773157,0.8533875846265592,0.34474935180665556,0.033273607655905285,0.4753646251639983,24.0,0.0
4,1238154541,7.630738258361816,0.08674627603350288,0.6443950057148811,0.1914046262526316,0.9092133644746856,0.9284322657516373,0.41036087203424637,0.055527770814077886,0.46254362290331313,24.0,0.0
5,32646995,7.332158088684082,0.08717124106164473,0.7007861055877644,0.17430703975914835,0.8972194770821686,0.9174484650758751,0.45802760295948536,0.05087257995655329,0.40854828215983674,24.0,0.0
6,1220271111,7.348307847976685,0.11544444682653912,0.41031092492086474,0.09805480687633306,0.7956275777811109,0.8217522474607055,0.26548882319258005,0.028893713004123217,0.5273697112640024,24.0,0.0
7,963240097,7.3651041984558105,0.08064201879741278,0.6072078039188985,0.10893812234823376,0.8982538492273904,0.9182998757149717,0.4048452176651256,0.03112673645938776,0.4823279215904581,24.0,0.0
8,1521599456,7.365110874176025,0.10786868271019473,0.6368644933712377,0.14689727429456778,0.8183419262563808,0.848940635332361,0.42331736077022974,0.04356023759812367,0.38206303696400745,24.0,0.0
9,937759813,7.240105867385864,0.08127425346659235,0.7158946161002789,0.1555456803732288,0.9010850638088904,0.9215775884853108,0.4736691151314477,0.04498042494660726,0.40292804840725593,24.0,0.0
10,865822978,7.224479675292969,0.10353151273834715,0.7293123434829307,0.14701622154659338,0.8097342409073253,0.8385812460376698,0.4916903819523049,0.04277636763424693,0.30411449645111793,24.0,0.0
11,227302066,7.333859205245972,0.06806347224391487,0.49983848495433036,0.11653695648024243,0.9328063347921237,0.947642559208528,0.32167253601269413,0.03334407971763637,0.5926259434781977,24.0,0.0
12,947449799,7.130730628967285,0.08150993397589215,0.5735124089870242,0.11379990687831039,0.816620694536886,0.8486737318739683,0.38547919176281825,0.03294295148283275,0.4302515886283176,24.0,0.0
13,1782950357,7.427600622177124,0.06868539940384881,0.6950753080476393,0.18409460371654324,0.9414804583723512,0.9557760268715687,0.4477229366022776,0.05317932769906409,0.45487376257022727,24.0,0.0
14,1437994672,7.485785007476807,0.08489753072959406,0.5781967924456077,0.1194375641788305,0.7867013450339208,0.8172682287270157,0.3874759522491737,0.034995756140078216,0.39479652033776397,24.0,0.0
15,1562885644,7.427630662918091,0.06979632227285214,0.4728309913123587,0.13128207149113455,0.8560375341945532,0.8818426813624499,0.3061767306045711,0.04291303746417974,0.5327529132936993,24.0,0.0
