ID,Seed,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
1,1984980876,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.04546950955473643,0.003844777133481231,0.9961552228665188,"[0.13159004083447712, 0.004736000999029569, 0.509636652089338, 0, 0.3540373060771551, 0, 0, 0]",0.13159004083447712,0.004736000999029569,0.509636652089338,0,0.3540373060771551,0,0,0,2.186434311096519,1,0.9794351055630502,0.9347668867851804,0.906290047755034,0.8556978480733202,0.890670686724016,0.8708523707323014,0.7599759904616632,-3.8625484137186112,-3.9584472761661296,-4.787200945391053,0.5406147367332872,2.415048727474118,1.9285741040457145,0.01588124876738729,0.033855902195635675,1500,0.9545304904452636,0.00013723079721069653,0.00011004054276317223,1.632296519561311e-05,0.4140703202481106,0.5185177991876097,62.967340581776895,29.536947331118792,2.186434311096519,2.1414705202954942,2.0438063941439935,1.981543656216909,1.8709271349589636,1.9473929493412874,1.9040615032688497,1.6616375811549413,26535947.634378325,1264052.3656216725,639.5275498810773,23.01696310706027,2476.833941029489,0.0,1720.621176847435,0.0,0.0,0.0,165697.17485919222,5963.536303302871,641730.5817400075,0.0,445801.07308830466,0.0,0.0,0.0
2,339581809,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.04405830133022827,0.017852913870498588,0.9821470861295014,"[0.11530168518190191, 0.0016003082753704707, 0.5063793932356208, 0, 0.37671861330710693, 0, 0, 0]",0.11530168518190191,0.0016003082753704707,0.5063793932356208,0,0.37671861330710693,0,0,0,2.4357294693306786,1,0.9616180009752632,0.9889036801532308,0.9614086704385936,0.8469848523443094,0.935635671162687,0.843109002149788,0.8459384757392746,-4.19932119667167,-3.9125821084610726,-3.3914667286145197,0.4335913010415736,1.200878316851772,2.031385026360596,0.030605131628081407,0.014437103259870191,1500,0.9559416986697717,6.319443034483196e-05,0.00012229758792699376,0.00040600676631818555,0.8327238371841075,0.49227496856742486,32.67425908021453,69.26597268162722,2.4357294693306786,2.3422413032143057,2.408701836078784,2.3417314306573087,2.063025964931728,2.2789553768079447,2.0535854423942212,2.0604772745988265,26575179.223019652,1224820.7769803458,2521.258116579612,34.99333268149521,11072.805685795514,0.0,8237.562703170654,0.0,0.0,0.0,138702.6415150607,1925.097492565842,609151.1961838936,0.0,453175.2219505985,0.0,0.0,0.0
3,1995750289,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.042489810993022126,0.039452126599495825,0.9605478734005042,"[0.10493685189704396, 0.009440331853893048, 0.546217739641954, 0, 0.33940507660710906, 0, 0, 0]",0.10493685189704396,0.009440331853893048,0.546217739641954,0,0.33940507660710906,0,0,0,2.030671447833911,1,0.9195642048664803,0.9815952106537025,0.971220252090079,0.9294345367953485,0.8900959748777524,0.827454739892138,0.7914473630590824,-4.593223650867166,-3.4958157694425163,-3.5562849032935127,0.4960685784986017,2.0120279377109482,2.0664038337424935,0.03195598057941358,0.009461098525508065,1500,0.9575101890069779,2.5513870633472662e-05,0.00031928920135177856,0.0002777890334727003,0.4970109913770302,0.48393251293426304,31.293046931071544,105.69597148828969,2.030671447833911,1.867332775272455,1.993297367604987,1.972229235477377,1.8873761765010508,1.807492482016142,1.6802887146738004,1.607169562627518,26618783.254393984,1181216.745606015,4890.216024739877,439.93374373441213,25454.572870310418,0.0,15816.789950308252,0.0,0.0,0.0,119062.95066722679,10711.144326161933,619746.9679418321,0.0,385094.17008170136,0.0,0.0,0.0
4,769024199,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.04939876139181255,0.03256356366235368,0.9674364363376463,"[0.11584893123447335, 0.001463929072518692, 0.5204840917893189, 0, 0.362203047903689, 0, 0, 0]",0.11584893123447335,0.001463929072518692,0.5204840917893189,0,0.362203047903689,0,0,0,1.6884729762373112,1,0.9077822796249476,0.9688884912803913,0.9941883964324019,0.9843026149490992,0.961382868308958,0.8928909585249484,0.956963425630344,-3.1647848106594783,-3.3316021311378528,-3.258435097670643,0.5770647745483481,3.459211911853837,2.4869160130511903,0.02641316384465015,0.026685194253408838,1500,0.9506012386081875,0.0006842506038406193,0.000466012824912807,0.0005515246177918886,0.289083185847405,0.4021044517595521,37.85990977383593,37.47396367078187,1.6884729762373112,1.5327658474538264,1.6359420345142806,1.6786602406648174,1.6619683657812736,1.6232689929571893,1.5076222541960052,1.6158068834243198,26426714.433307607,1373285.5666923886,5180.65669440002,65.46554956403394,23275.565563911412,0.0,16197.38416970358,0.0,0.0,0.0,153913.00848664128,1944.927116387261,691497.7253833566,0.0,481210.8337284244,0.0,0.0,0.0
5,496787752,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.04931326416762134,0.005622787914073718,0.9943772120859263,"[0.09942319923125535, 0.004069009824895048, 0.5779275353075303, 0, 0.31858025563631936, 0, 0, 0]",0.09942319923125535,0.004069009824895048,0.5779275353075303,0,0.31858025563631936,0,0,0,1.8948228356845116,1,0.9822231917574509,0.9089362274455256,0.9529213243432106,0.931483084028319,0.8170430270183319,0.8028189316429082,0.8077603547800005,-3.9603647261138324,-4.1394393192390355,-5.061524089080729,0.6092380862578461,3.9292637471626715,2.261197825863912,0.015075990160508155,0.02848046843762323,1500,0.9506867358323786,0.00010955577461525226,7.253718218593274e-05,8.679124353208955e-06,0.25450060478177416,0.4422434819996081,66.33063496018451,35.11178203371758,1.8948228356845116,1.861138933480945,1.722273119944713,1.8056170859762426,1.7649954186706938,1.5481517853311326,1.5211996445968254,1.5305627659977676,26429091.25614012,1370908.7438598732,766.3867414673246,31.36526690764053,4454.855647507088,0.0,2455.7214603912244,0.0,0.0,0.0,135533.74642718286,5546.875880892713,787831.0558229717,0.0,434288.73661255266,0.0,0.0,0.0
6,745834900,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.053452501112695824,0.04963523314744452,0.9503647668525554,"[0.13516758264575593, 0.0042232488131085395, 0.5305793182911239, 0, 0.3300298502500115, 0, 0, 0]",0.13516758264575593,0.0042232488131085395,0.5305793182911239,0,0.3300298502500115,0,0,0,1.7884128976828868,1,0.9133318132888092,0.9188765279249879,0.9264778430047398,0.9532416958081779,0.9598777656345658,0.9962811309565582,0.8884954063732624,-4.7247227170842185,-4.922632185435659,-3.878306163491106,0.5823221606470386,4.684201468551867,2.0057489363127505,0.00880402824720297,0.03203699913610547,1500,0.9465474988873042,1.884852122238499e-05,1.1949997503763629e-05,0.0001323408246473605,0.21348355887629072,0.4985668853641974,113.58436978183241,31.213909759513246,1.7884128976828868,1.6334143947498045,1.6433306339191176,1.6569249238470973,1.7047897433924524,1.7166577762598887,1.7817620243208019,1.5889966442899404,26314020.469067052,1485979.5309329438,9969.547346702091,311.4939112992341,39133.90719391079,0.0,24341.992018274803,0.0,0.0,0.0,190886.71371057822,5964.167379016904,749296.0993230545,0.0,466075.610050107,0.0,0.0,0.0
7,1938101334,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.04351925978003569,0.04504828401027116,0.9549517159897288,"[0.11108605720276138, 0.0006397374644673764, 0.5490605904537025, 0, 0.33921361487906865, 0, 0, 0]",0.11108605720276138,0.0006397374644673764,0.5490605904537025,0,0.33921361487906865,0,0,0,1.9611236502244738,1,0.9297789461981729,0.9704068689251711,0.9722133950840192,0.8228075542068969,0.9557346636699587,0.8456597187278874,0.8164923090751348,-3.7581654509128093,-4.1577026190378135,-5.038551908182198,0.6122284344389186,3.993614016869591,2.1797446389907407,0.008718717344558657,0.026289576575878496,1500,0.9564807402199643,0.00017451571827968034,6.955003949718158e-05,9.150568823951456e-06,0.25039976216425985,0.45876933568833883,114.69577008642206,38.037889165454686,1.9611236502244738,1.8234114808700255,1.9030878609894342,1.9066306821643002,1.6136273541385011,1.8743138522624891,1.6584432744394362,1.6012423775536375,26590164.578115005,1209835.4218849922,6054.302280116168,34.86633775047958,29924.35656113239,0.0,18487.48451176231,0.0,0.0,0.0,128341.54460132703,739.1107074690439,634348.5945308456,0.0,391905.162354589,0.0,0.0,0.0
8,176492263,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.052046355684757274,0.04137799291451929,0.9586220070854807,"[0.12359452919759636, 0.001520994149508639, 0.5738726829254003, 0, 0.30101179372749476, 0, 0, 0]",0.12359452919759636,0.001520994149508639,0.5738726829254003,0,0.30101179372749476,0,0,0,2.2509915413501913,1,0.9882079999388925,0.9233969876887166,0.9993518601000015,0.9070261820485652,0.9672491101699556,0.8490378231451514,0.8205122636882225,-3.2585444990350707,-3.810640600176952,-4.0551166841598985,0.46145328271383756,1.6171705603380009,1.9064996019909504,0.015830117877068665,0.00293724137754433,1500,0.9479536443152428,0.0005513857029560791,0.0001546533742071902,8.80812188816542e-05,0.6183639651410624,0.5245214837473366,63.17072353886821,340.45550619201964,2.2509915413501913,2.2244478489570376,2.078558808595548,2.2495325839176834,2.041708263574479,2.1772695653710694,1.9111769581861155,1.8469661651362865,26353111.311963744,1446888.688036252,7399.524111990205,91.06093090489387,34357.384441588954,0.0,18021.3803971781,0.0,0.0,0.0,171428.00208717826,2109.648298588476,795972.5088561876,0.0,417509.1789126357,0.0,0.0,0.0
9,1663365764,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.056137328959985605,0.041462089812048755,0.9585379101879512,"[0.14767016658382737, 0.008989889498856025, 0.5019922714572891, 0, 0.3413476724600275, 0, 0, 0]",0.14767016658382737,0.008989889498856025,0.5019922714572891,0,0.3413476724600275,0,0,0,2.050129798061727,1,0.9633820750229897,0.9366536318975341,0.9128768905608274,0.9466652968876762,0.9814198371759852,0.9764288624183732,0.9053588049211588,-4.3579985162336214,-4.323590421790946,-3.1756198227776107,0.4777223661434732,1.7733356732316405,2.1480792546037937,0.020136307607171448,0.016168137601822632,1500,0.9438626710400144,4.3853219601694815e-05,4.7468944847303174e-05,0.0006673907410257291,0.5639090303629029,0.4655321715233672,49.661537731170476,61.85004263492105,2.050129798061727,1.9750582989231693,1.920261521215875,1.8715161153006865,1.9407867339403764,2.0120380526033754,2.0018059065314215,1.8561030639064218,26239382.2549124,1560617.7450875996,9555.215663072606,581.7040431114995,32482.149414026637,0.0,22087.403988888327,0.0,0.0,0.0,220901.46672769025,13448.077035179882,750935.89731905,0.0,510625.8308965803,0.0,0.0,0.0
10,284801603,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.04017711078152453,0.0038615256786008025,0.9961384743213992,"[0.1192812458784562, 0.0029766301127629557, 0.4985368695464347, 0, 0.37920525446234615, 0, 0, 0]",0.1192812458784562,0.0029766301127629557,0.4985368695464347,0,0.37920525446234615,0,0,0,1.8584456661939492,1,0.9122378855821709,0.9381603153214592,0.9737854313665238,0.8870371696737539,0.9457527643139154,0.9621530124015638,0.948472040576262,-4.399640076997072,-4.73403528311856,-3.6147241170821744,0.6152507494297961,4.4772093314457075,2.3064650334198253,0.0358459323803853,0.010945217384833996,1500,0.9598228892184755,3.984372399554046e-05,1.8448655318191452e-05,0.00024281520740429338,0.22335341637401088,0.4335639107943844,27.897168063263845,91.36410587747928,1.8584456661939492,1.6953445449981173,1.7435199722043146,1.8097273147259216,1.6485103837331347,1.7576301261301437,1.7881090961131394,1.7626837533150856,26683076.320273615,1116923.6797263818,514.4635287279682,12.83829339853119,2150.2042103852395,0.0,1635.5234377889833,0.0,0.0,0.0,132713.58454018465,3311.830365333024,554677.4306026897,0.0,421907.8047478736,0.0,0.0,0.0
11,1708487345,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.046433116522931625,0.04801547318839877,0.9519845268116012,"[0.11451919658909772, 0.007769774590666525, 0.5463207785128052, 0, 0.33139025030743047, 0, 0, 0]",0.11451919658909772,0.007769774590666525,0.5463207785128052,0,0.33139025030743047,0,0,0,1.8334019388306677,1,0.9936498473951259,0.9270333615670581,0.9975311374318815,0.978862874691174,0.8632072172216793,0.8549839098992853,0.8214725631147299,-4.069997286095467,-4.247107061288363,-3.429529458221401,0.5303911473493431,2.8832691197491473,2.078789341687535,0.03685345184354206,0.004961231908248072,1500,0.9535668834770684,8.511433569772942e-05,5.6609971822004366e-05,0.00037193799172946886,0.3468285333305976,0.48104922415477297,27.134500297160983,201.56284134541164,1.8334019388306677,1.821759556733021,1.6996247624577556,1.8288755214115728,1.7946490923081593,1.582605785666852,1.5675291580783746,1.506089389910744,26509159.360662498,1290840.639337499,7097.936921249353,481.5731473803166,33861.13891948919,0.0,20539.675120486347,0.0,0.0,0.0,140728.09602023827,9547.967652743915,671351.9240993405,0.0,407232.327456571,0.0,0.0,0.0
12,2050502706,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.04732827844200273,0.040176898492451735,0.9598231015075482,"[0.09937311398279579, 0.0033554373361804534, 0.5445022634993536, 0, 0.35276918518167005, 0, 0, 0]",0.09937311398279579,0.0033554373361804534,0.5445022634993536,0,0.35276918518167005,0,0,0,2.0469263062427085,1,0.9771617614944645,0.9005034817602816,0.9347931607331368,0.8985493205101579,0.8932768069554002,0.8641781923966636,0.918553191975528,-4.019759711096924,-4.570290624626633,-5.1368346263036235,0.5630941988867493,2.671589655755259,2.075000496369147,0.03437072420218101,0.03393816488991853,1500,0.9526717215579973,9.5552111591206e-05,2.689734263832078e-05,7.297353310893233e-06,0.3743089803652125,0.48192759555952314,29.094528067480883,29.465352745016986,2.0469263062427085,2.0001781150574827,1.8432642656782714,1.9134527116004263,1.8392642416087532,1.8284717949134985,1.7689090752980035,1.8802106923379172,26484273.859312322,1315726.1406876757,5253.041239322537,177.3744426079882,28783.36735590037,0.0,18648.012560443116,0.0,0.0,0.0,125494.76250937786,4237.462174044054,687632.494393808,0.0,445499.62601217156,0.0,0.0,0.0
13,33973174,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.05497796956706103,0.03332144634469306,0.966678553655307,"[0.09354293855673926, 0.0014303310857912749, 0.5328423188911501, 0, 0.3721844114663194, 0, 0, 0]",0.09354293855673926,0.0014303310857912749,0.5328423188911501,0,0.3721844114663194,0,0,0,2.021016852625923,1,0.9709145426424806,0.9413809179465331,0.992584946112201,0.8194964466631017,0.806098751018635,0.8791036483998544,0.9112755834071166,-3.087771116457997,-3.608557094748301,-3.1884211879241,0.5800750689222522,2.98842317918176,1.9897364047783146,0.03307054587314441,0.03268357848147621,1500,0.945022030432939,0.0008170128431534486,0.00024628780334187277,0.0006480056791692035,0.3346246297934964,0.5025791344011794,30.238388076081616,30.596404875517575,2.021016852625923,1.9622346531400436,1.9025466999104048,2.006030903755552,1.6562161293731896,1.6291391606893695,1.77668328862104,1.8417033114523027,26271612.4460357,1528387.5539642966,4763.962620574248,72.84402150379204,27136.638307741738,0.0,18954.63892349821,0.0,0.0,0.0,138205.90043079294,2113.256208067831,787252.9301109668,0.0,549887.383341151,0.0,0.0,0.0
14,434685913,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.05007157213384612,0.0021162117999099675,0.99788378820009,"[0.10944377503370062, 0.00468625630196667, 0.5165252169191672, 0, 0.3693447517451655, 0, 0, 0]",0.10944377503370062,0.00468625630196667,0.5165252169191672,0,0.3693447517451655,0,0,0,2.0079215952245444,1,0.9802482091394005,0.9838885691566277,0.9247597827768557,0.9295569819277528,0.8778134648925937,0.8322075913308798,0.8168692199824976,-3.0163344186875864,-3.9764614086610957,-5.354555346229495,0.5216864585494294,2.324360492804918,1.832048771778624,0.03539689713552593,0.003468447949729953,1500,0.9499284278661538,0.0009630871344592608,0.00010556953079660581,4.420227821666113e-06,0.4302258634559959,0.5458369970299214,28.251063819838457,288.31339391379885,2.0079215952245444,1.9682615478111878,1.9755711053041705,1.8568451382328073,1.8664775380044865,1.7625806127367214,1.671007594343076,1.6402093472770858,26408010.29467907,1391989.705320922,322.3934574374033,13.804516256531118,1521.5515956471513,0.0,1087.9954704122476,0.0,0.0,0.0,152022.2147009328,6509.416012576367,717476.2328944897,0.0,513036.09667316976,0.0,0.0,0.0
15,2068213801,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.03753383407664464,0.01063245059896678,0.9893675494010332,"[0.1052106928248145, 0.003571689513225949, 0.5100521792468614, 0, 0.38116543841509815, 0, 0, 0]",0.1052106928248145,0.003571689513225949,0.5100521792468614,0,0.38116543841509815,0,0,0,2.230497959808448,1,0.9447457699534035,0.9156591052637366,0.9414874488981183,0.934236420613322,0.8987518645274939,0.9719253463098108,0.9588796996172368,-4.617307482977964,-4.2665600355386974,-4.743017811395369,0.609511708374781,4.359414458701565,1.7198551501386246,0.012614907220580967,0.03809420301773044,1500,0.9624661659233553,2.4137512796130285e-05,5.413024147229458e-05,1.807100011247439e-05,0.22938860470216596,0.5814443151909611,79.27129248866136,26.250713252474746,2.230497959808448,2.107253512418728,2.0423757661707933,2.0999858339525135,2.0838124301567618,2.0046642002026136,2.1678775020301524,2.138779213697984,26756559.412669275,1043440.5873307207,1167.2421980958277,39.62550389507925,5658.687447662697,0.0,4228.775348097167,0.0,0.0,0.0,108613.86491650066,3687.220299548381,526550.4580349964,0.0,393494.7135819245,0.0,0.0,0.0
16,1455834841,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.047613386149588405,0.00022781835231783232,0.9997721816476821,"[0.11446761217286276, 0.0024821446764714257, 0.539883596970834, 0, 0.3431666461798319, 0, 0, 0]",0.11446761217286276,0.0024821446764714257,0.539883596970834,0,0.3431666461798319,0,0,0,1.6796677292510482,1,0.9778760231879946,0.9636071023744427,0.9677402695397408,0.9496913127929735,0.9303306717068069,0.8989583060865849,0.7575578475871236,-4.039638410226003,-3.4010518625168027,-3.012942674657277,0.6151397857329963,4.431605598534524,2.5748520475521803,0.01937372217490462,0.00943321228779056,1500,0.9523866138504116,9.127704877708087e-05,0.0003971441205373443,0.0009706380795995914,0.22565184959841356,0.3883718293447828,51.61630743808904,106.0084274043428,1.6796677292510482,1.6425067993572242,1.6185397535354624,1.6254821010426137,1.5951658508484208,1.5626464067983747,1.5099512566758229,1.2724454696329757,26476347.86504144,1323652.1349585576,34.51796582293849,0.7484963081141437,162.8031125560805,0.0,103.48267374110645,0.0,0.0,0.0,151480.781270395,3284.7476039793064,714455.2726469937,0.0,454129.7811887613,0.0,0.0,0.0
17,1170374427,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.05183423741511965,0.0460623169496743,0.9539376830503257,"[0.11618740570798997, 0.0028551938824657053, 0.5731615395990293, 0, 0.307795860810515, 0, 0, 0]",0.11618740570798997,0.0028551938824657053,0.5731615395990293,0,0.307795860810515,0,0,0,1.9132082767698124,1,0.9395321765059321,0.9541001269139205,0.9235291896950646,0.876788591136221,0.9726253230642632,0.8595382157343685,0.9809243932114069,-3.4668283757662737,-3.299937561354634,-3.9967229171851395,0.6170847776929045,4.919779909022712,1.9691361528313616,0.01609529267072027,0.026181351735393644,1500,0.9481657625848804,0.00034132777067777506,0.0005012592946432161,0.00010075743030430855,0.20326112519099346,0.5078369002377667,62.129966845470825,38.19512491588184,1.9132082767698124,1.7975207363827057,1.8253922596788412,1.7669036895631158,1.677479189539161,1.860834818282461,1.6444756285429505,1.8767126679774697,26359008.19985967,1440991.8001403261,7711.987971083045,189.51469604223377,38043.83850332569,0.0,20430.079849494454,0.0,0.0,0.0,159713.11093370782,3924.7962764016693,787877.2402146803,0.0,423101.23169559083,0.0,0.0,0.0
18,1493653684,0.75,0.975,0.75,0.975,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.025000000000000022,0.75,0.025000000000000022,0.75,0.75,0.025000000000000022,0.75,0.025000000000000022,0.75,0.025000000000000022,0.025000000000000022,0.75,0.5,27799999.999999996,1500,0.05666758497057328,0.037907542003055995,0.962092457996944,"[0.08024299889742588, 0.0031571615168912034, 0.5376228066569385, 0, 0.3789770329287443, 0, 0, 0]",0.08024299889742588,0.0031571615168912034,0.5376228066569385,0,0.3789770329287443,0,0,0,1.9515305198135717,1,0.997921038500281,0.9566999981670409,0.99959235575192,0.9773911492433511,0.9026643045797574,0.9708973107009126,0.7531303060594576,-4.709900029751031,-4.841610801766224,-3.867017275589978,0.4580326315275142,1.7178936720295583,2.3400858729288014,0.005365694176211584,0.03833860316042383,1500,0.9433324150294267,1.9502934861588482e-05,1.4400885528679744e-05,0.00013582594159686817,0.5821082039487213,0.42733474509139335,186.36917557348448,26.083370742945583,1.9515305198135717,1.9474733629973529,1.8670292447285683,1.950734989622217,1.9074086575440612,1.7615769395336902,1.8947357334377508,1.4697567776715676,26224641.137818057,1575358.862181937,4791.949982884206,188.53931538835846,32105.74921870872,0.0,22631.74372106699,0.0,0.0,0.0,121619.56945823107,4785.123059585966,814843.1037594256,0.0,574393.0836666462,0.0,0.0,0.0
